Date,DaysToExpiry,ExpiryDate,PnL
2021-06-10,0,2021-06-10 00:00:00,245.90625
2021-06-17,0,2021-06-17 00:00:00,334.35625000000005
2021-06-24,0,2021-06-24 00:00:00,-20.331250000000182
2021-07-01,0,2021-07-01 00:00:00,439.21249999999986
2021-07-08,0,2021-07-08 00:00:00,-1189.83125
2021-07-15,0,2021-07-15 00:00:00,329.97500000000014
2021-07-22,0,2021-07-22 00:00:00,-157.52499999999986
2021-07-29,0,2021-07-29 00:00:00,78.22500000000014
2021-08-05,0,2021-08-05 00:00:00,-71.74374999999986
2021-08-12,0,2021-08-12 00:00:00,-209.04375000000005
2021-08-26,0,2021-08-26 00:00:00,61.293750000000045
2021-09-02,0,2021-09-02 00:00:00,-66.53749999999991
2021-09-09,0,2021-09-09 00:00:00,763.8500000000001
2021-09-16,0,2021-09-16 00:00:00,-540.7062499999997
2021-09-23,0,2021-09-23 00:00:00,-35.0
2021-09-30,0,2021-09-30 00:00:00,1087.9875000000002
2021-10-07,0,2021-10-07 00:00:00,701.15625
2021-10-14,0,2021-10-14 00:00:00,838.8312499999998
2021-10-21,0,2021-10-21 00:00:00,-493.6624999999999
2021-10-28,0,2021-10-28 00:00:00,-854.7937499999998
2021-11-11,0,2021-11-11 00:00:00,-761.2437499999996
2021-11-18,0,2021-11-18 00:00:00,-730.90625
2021-11-25,0,2021-11-25 00:00:00,-511.37500000000045
2021-12-02,0,2021-12-02 00:00:00,-671.6125000000006
2021-12-09,0,2021-12-09 00:00:00,437.3562500000005
2021-12-16,0,2021-12-16 00:00:00,-159.02499999999964
2021-12-23,0,2021-12-23 00:00:00,808.8375
2021-12-30,0,2021-12-30 00:00:00,966.1625000000001
2022-01-06,0,2022-01-06 00:00:00,1063.1874999999998
2022-01-13,0,2022-01-13 00:00:00,300.00625000000025
2022-01-20,0,2022-01-20 00:00:00,-923.3937500000002
2022-01-27,0,2022-01-27 00:00:00,1936.0374999999995
2022-02-03,0,2022-02-03 00:00:00,-850.8312499999997
2022-02-10,0,2022-02-10 00:00:00,-815.8812500000004
2022-02-17,0,2022-02-17 00:00:00,1198.2562500000004
2022-02-24,0,2022-02-24 00:00:00,-3525.2625000000007
2022-03-03,0,2022-03-03 00:00:00,-1902.0687500000004
2022-03-10,0,2022-03-10 00:00:00,1591.8187499999997
2022-03-17,0,2022-03-17 00:00:00,-414.58125000000064
2022-03-24,0,2022-03-24 00:00:00,938.3249999999998
2022-03-31,0,2022-03-31 00:00:00,176.0187500000004
2022-04-07,0,2022-04-07 00:00:00,1094.4375000000005
2022-04-21,0,2022-04-21 00:00:00,68.47499999999991
2022-04-28,0,2022-04-28 00:00:00,-774.5625
2022-05-05,0,2022-05-05 00:00:00,1525.2187500000002
2022-05-12,0,2022-05-12 00:00:00,59.43125000000009
2022-05-19,0,2022-05-19 00:00:00,-1530.593750000001
2022-05-26,0,2022-05-26 00:00:00,1507.8062499999996
2022-06-02,0,2022-06-02 00:00:00,-891.8125
2022-06-09,0,2022-06-09 00:00:00,-968.7937499999998
2022-06-16,0,2022-06-16 00:00:00,-569.03125
2022-06-23,0,2022-06-23 00:00:00,1487.75625
2022-06-30,0,2022-06-30 00:00:00,509.5749999999996
2022-07-07,0,2022-07-07 00:00:00,1352.8187500000001
2022-07-14,0,2022-07-14 00:00:00,-853.3812499999999
2022-07-21,0,2022-07-21 00:00:00,-270.5937499999998
2022-07-28,0,2022-07-28 00:00:00,-657.4187499999998
2022-08-04,0,2022-08-04 00:00:00,-461.9937500000001
2022-08-11,0,2022-08-11 00:00:00,1073.9062500000002
2022-08-18,0,2022-08-18 00:00:00,-828.4187499999998
2022-08-25,0,2022-08-25 00:00:00,-1108.5250000000003
2022-09-01,0,2022-09-01 00:00:00,1419.0562499999999
2022-09-08,0,2022-09-08 00:00:00,1212.525
2022-09-15,0,2022-09-15 00:00:00,-682.2875000000004
2022-09-22,0,2022-09-22 00:00:00,1665.9312499999996
2022-09-29,0,2022-09-29 00:00:00,-614.1625000000004
2022-10-06,0,2022-10-06 00:00:00,231.40625
2022-10-13,0,2022-10-13 00:00:00,-103.51249999999982
2022-10-20,0,2022-10-20 00:00:00,-587.0812500000002
2022-10-27,0,2022-10-27 00:00:00,-672.2125000000001
2022-11-03,0,2022-11-03 00:00:00,992.5749999999997
2022-11-10,0,2022-11-10 00:00:00,259.24375
2022-11-17,0,2022-11-17 00:00:00,724.26875
2022-11-24,0,2022-11-24 00:00:00,-384.30624999999986
2022-12-01,0,2022-12-01 00:00:00,642.0124999999999
2022-12-08,0,2022-12-08 00:00:00,-33.556250000000546
2022-12-15,0,2022-12-15 00:00:00,-336.8312499999997
2022-12-22,0,2022-12-22 00:00:00,-575.0812500000002
2022-12-29,0,2022-12-29 00:00:00,991.38125
2023-01-05,0,2023-01-05 00:00:00,-518.9000000000001
2023-01-12,0,2023-01-12 00:00:00,-229.72500000000036
2023-01-19,0,2023-01-19 00:00:00,902.4124999999999
2023-02-02,0,2023-02-02 00:00:00,1636.0625
2023-02-09,0,2023-02-09 00:00:00,-636.9749999999999
2023-02-16,0,2023-02-16 00:00:00,339.8125000000002
2023-02-23,0,2023-02-23 00:00:00,-98.63749999999959
2023-03-02,0,2023-03-02 00:00:00,700.4125
2023-03-09,0,2023-03-09 00:00:00,-1367.1062500000007
2023-03-16,0,2023-03-16 00:00:00,-464.9812500000003
2023-03-23,0,2023-03-23 00:00:00,-872.5875000000001
2023-04-06,0,2023-04-06 00:00:00,-110.00625000000014
2023-04-13,0,2023-04-13 00:00:00,735.95625
2023-04-20,0,2023-04-20 00:00:00,-460.9250000000002
2023-04-27,0,2023-04-27 00:00:00,152.94374999999968
2023-05-04,0,2023-05-04 00:00:00,-302.67499999999995
2023-05-11,0,2023-05-11 00:00:00,1074.6
2023-05-18,0,2023-05-18 00:00:00,-140.43125000000032
2023-05-25,0,2023-05-25 00:00:00,972.125
2023-06-01,0,2023-06-01 00:00:00,326.19999999999993
2023-06-08,0,2023-06-08 00:00:00,-1340.8999999999999
2023-06-15,0,2023-06-15 00:00:00,-835.3750000000002
2023-06-22,0,2023-06-22 00:00:00,-777.3374999999999
2023-07-06,0,2023-07-06 00:00:00,-702.8687499999999
2023-07-13,0,2023-07-13 00:00:00,-1282.6687499999998
2023-07-20,0,2023-07-20 00:00:00,-1029.55625
2023-07-27,0,2023-07-27 00:00:00,-609.8625000000002
2023-08-03,0,2023-08-03 00:00:00,-708.2750000000001
2023-08-10,0,2023-08-10 00:00:00,-222.38125000000036
2023-08-17,0,2023-08-17 00:00:00,878.2187499999999
2023-08-24,0,2023-08-24 00:00:00,-307.0625000000002
2023-08-31,0,2023-08-31 00:00:00,263.2562499999998
2023-09-07,0,2023-09-07 00:00:00,-415.4875000000002
2023-09-14,0,2023-09-14 00:00:00,17.343750000000682
2023-09-21,0,2023-09-21 00:00:00,-195.6187500000001
2023-09-28,0,2023-09-28 00:00:00,-947.6937499999999
2023-10-05,0,2023-10-05 00:00:00,-261.32500000000005
2023-10-12,0,2023-10-12 00:00:00,593.6687500000003
2023-10-19,0,2023-10-19 00:00:00,-244.1875
2023-10-26,0,2023-10-26 00:00:00,-553.5687499999997
2023-11-02,0,2023-11-02 00:00:00,396.06250000000006
2023-11-09,0,2023-11-09 00:00:00,-299.50624999999957
2023-11-16,0,2023-11-16 00:00:00,-344.60624999999993
2023-11-23,0,2023-11-23 00:00:00,-488.1937499999999
2023-11-30,0,2023-11-30 00:00:00,-261.3437499999998
2023-12-07,0,2023-12-07 00:00:00,31.450000000000045
2023-12-14,0,2023-12-14 00:00:00,559.85
2023-12-21,0,2023-12-21 00:00:00,-432.125
2023-12-28,0,2023-12-28 00:00:00,1115.40625
2024-01-04,0,2024-01-04 00:00:00,8.137500000000273
2024-01-11,0,2024-01-11 00:00:00,-989.4187499999998
2024-01-18,0,2024-01-18 00:00:00,1345.3250000000003
2024-01-25,0,2024-01-25 00:00:00,-1155.0812499999997
