Date,DaysToExpiry,ExpiryDate,PnL
2021-06-10,0,2021-06-10 00:00:00,2917.7999999999993
2021-06-17,0,2021-06-17 00:00:00,3005.6000000000013
2021-06-24,0,2021-06-24 00:00:00,1839.750000000001
2021-07-01,0,2021-07-01 00:00:00,3493.300000000001
2021-07-08,0,2021-07-08 00:00:00,-11982.787499999995
2021-07-15,0,2021-07-15 00:00:00,2404.4249999999997
2021-07-22,0,2021-07-22 00:00:00,990.75
2021-07-29,0,2021-07-29 00:00:00,1506.6749999999993
2021-08-05,0,2021-08-05 00:00:00,-1570.5874999999996
2021-08-12,0,2021-08-12 00:00:00,-632.1000000000004
2021-08-26,0,2021-08-26 00:00:00,2010.0250000000015
2021-09-02,0,2021-09-02 00:00:00,-2415.6625000000004
2021-09-09,0,2021-09-09 00:00:00,4752.0250000000015
2021-09-16,0,2021-09-16 00:00:00,-3889.625000000001
2021-09-23,0,2021-09-23 00:00:00,-3754.9874999999993
2021-09-30,0,2021-09-30 00:00:00,7294.600000000002
2021-10-07,0,2021-10-07 00:00:00,4401.300000000001
2021-10-14,0,2021-10-14 00:00:00,5463.100000000001
2021-10-21,0,2021-10-21 00:00:00,-3750.387499999999
2021-10-28,0,2021-10-28 00:00:00,-12833.8625
2021-11-11,0,2021-11-11 00:00:00,-1445.675000000001
2021-11-18,0,2021-11-18 00:00:00,-2296.0499999999993
2021-11-25,0,2021-11-25 00:00:00,-5987.9125
2021-12-02,0,2021-12-02 00:00:00,-1501.2000000000007
2021-12-09,0,2021-12-09 00:00:00,4201.950000000002
2021-12-16,0,2021-12-16 00:00:00,2191.1500000000024
2021-12-23,0,2021-12-23 00:00:00,5359.9000000000015
2021-12-30,0,2021-12-30 00:00:00,5699.55
2022-01-06,0,2022-01-06 00:00:00,6896.975
2022-01-13,0,2022-01-13 00:00:00,3864.6
2022-01-20,0,2022-01-20 00:00:00,-10376.699999999999
2022-01-27,0,2022-01-27 00:00:00,11573.3
2022-02-03,0,2022-02-03 00:00:00,-7832.450000000001
2022-02-10,0,2022-02-10 00:00:00,-2641.600000000004
2022-02-17,0,2022-02-17 00:00:00,8452.15
2022-02-24,0,2022-02-24 00:00:00,-16280.425000000003
2022-03-03,0,2022-03-03 00:00:00,-7911.500000000004
2022-03-10,0,2022-03-10 00:00:00,10054.874999999996
2022-03-17,0,2022-03-17 00:00:00,-467.10000000000036
2022-03-24,0,2022-03-24 00:00:00,7636.349999999998
2022-03-31,0,2022-03-31 00:00:00,3024.425000000002
