Date,DaysToExpiry,ExpiryDate,PnL
2022-05-27,6,2022-06-02 00:00:00,628.3375000000001
2022-06-03,6,2022-06-09 00:00:00,-574.8499999999999
2022-06-10,6,2022-06-16 00:00:00,-10178.2125
2022-07-08,6,2022-07-14 00:00:00,1684.6749999999997
2022-07-15,6,2022-07-21 00:00:00,-2357.1624999999995
2022-07-22,6,2022-07-28 00:00:00,1116.1
2022-07-29,6,2022-08-04 00:00:00,1340.25
2022-08-05,6,2022-08-11 00:00:00,1772.5124999999998
2022-08-12,6,2022-08-18 00:00:00,623.175
2022-08-19,6,2022-08-25 00:00:00,-180.86250000000007
2022-08-26,6,2022-09-01 00:00:00,-651.8499999999997
2022-09-02,6,2022-09-08 00:00:00,1536.5375000000001
2022-09-09,6,2022-09-15 00:00:00,966.5500000000003
2022-09-16,6,2022-09-22 00:00:00,-162.78750000000014
2022-09-23,6,2022-09-29 00:00:00,-5606.4
2022-09-30,6,2022-10-06 00:00:00,597.3875
2022-10-07,6,2022-10-13 00:00:00,1229.8
2022-10-14,6,2022-10-20 00:00:00,1332.1000000000004
2022-10-21,6,2022-10-27 00:00:00,811.1374999999999
2022-10-28,6,2022-11-03 00:00:00,462.67499999999995
2022-11-04,6,2022-11-10 00:00:00,857.6125
2022-11-11,6,2022-11-17 00:00:00,927.2625000000002
2022-11-18,6,2022-11-24 00:00:00,817.7124999999999
2022-11-25,6,2022-12-01 00:00:00,-542.1500000000002
2022-12-02,6,2022-12-08 00:00:00,842.8375
2022-12-09,6,2022-12-15 00:00:00,279.57500000000016
2022-12-16,6,2022-12-22 00:00:00,936.8375000000001
2022-12-23,6,2022-12-29 00:00:00,1561.1875000000002
2022-12-30,6,2023-01-05 00:00:00,926.6
2023-01-06,6,2023-01-12 00:00:00,996.9875
2023-01-13,6,2023-01-19 00:00:00,1514.225
2023-01-20,5,2023-01-25 00:00:00,815.1874999999999
2023-01-27,6,2023-02-02 00:00:00,3842.0750000000003
2023-02-03,6,2023-02-09 00:00:00,1647.2500000000002
2023-02-10,6,2023-02-16 00:00:00,939.3
2023-02-17,6,2023-02-23 00:00:00,-2551.4625000000005
2023-02-24,6,2023-03-02 00:00:00,85.02499999999998
2023-03-03,6,2023-03-09 00:00:00,173.04999999999995
2023-03-10,6,2023-03-16 00:00:00,-1738.7624999999994
2023-03-17,6,2023-03-23 00:00:00,-29.16249999999968
2023-03-24,5,2023-03-29 00:00:00,1424.1250000000002
2023-03-31,6,2023-04-06 00:00:00,-23.687499999999773
2023-04-21,6,2023-04-27 00:00:00,767.8125000000001
2023-04-28,6,2023-05-04 00:00:00,-954.8125
2023-05-05,6,2023-05-11 00:00:00,581.1875
2023-05-12,6,2023-05-18 00:00:00,911.8625
2023-05-19,6,2023-05-25 00:00:00,97.53750000000014
2023-05-26,6,2023-06-01 00:00:00,-182.4375
2023-06-02,6,2023-06-08 00:00:00,979.65
2023-06-09,6,2023-06-15 00:00:00,777.8375000000001
2023-06-16,6,2023-06-22 00:00:00,85.88749999999993
2023-06-23,6,2023-06-29 00:00:00,539.8
2023-06-30,6,2023-07-06 00:00:00,-2005.5375
2023-07-07,6,2023-07-13 00:00:00,954.3000000000001
2023-07-14,6,2023-07-20 00:00:00,-4046.3125
2023-07-21,6,2023-07-27 00:00:00,1434.15
2023-07-28,6,2023-08-03 00:00:00,1735.2374999999997
2023-08-04,6,2023-08-10 00:00:00,844.7374999999998
2023-08-11,6,2023-08-17 00:00:00,733.1
2023-08-18,6,2023-08-24 00:00:00,700.9125
2023-08-25,6,2023-08-31 00:00:00,862.3375
2023-09-01,6,2023-09-07 00:00:00,-2311.05
2023-09-08,6,2023-09-14 00:00:00,140.62499999999994
2023-09-15,6,2023-09-21 00:00:00,-1722.75
2023-09-22,6,2023-09-28 00:00:00,1292.7374999999997
2023-09-29,6,2023-10-05 00:00:00,1099.0875
2023-10-06,6,2023-10-12 00:00:00,264.98749999999984
2023-10-13,6,2023-10-19 00:00:00,1361.8999999999999
2023-10-20,6,2023-10-26 00:00:00,-9902.05
2023-10-27,6,2023-11-02 00:00:00,1737.1000000000004
2023-11-03,6,2023-11-09 00:00:00,1091.25
2023-11-10,6,2023-11-16 00:00:00,-3959.7375
2023-11-17,6,2023-11-23 00:00:00,805.2624999999998
2023-11-24,6,2023-11-30 00:00:00,83.10000000000008
2023-12-01,6,2023-12-07 00:00:00,-6479.0625
2023-12-08,6,2023-12-14 00:00:00,1163.9374999999998
2023-12-15,6,2023-12-21 00:00:00,-224.52499999999986
2023-12-22,6,2023-12-28 00:00:00,-1606.3499999999997
2023-12-29,6,2024-01-04 00:00:00,1681.3749999999998
2024-01-05,6,2024-01-11 00:00:00,821.9875000000002
2024-01-12,6,2024-01-18 00:00:00,-1460.2875000000001
2024-01-19,6,2024-01-25 00:00:00,218.93750000000045
2024-02-02,6,2024-02-08 00:00:00,1831.0625
2024-02-09,6,2024-02-15 00:00:00,1993.525
2024-02-16,6,2024-02-22 00:00:00,1739.9875000000002
2024-02-23,6,2024-02-29 00:00:00,1849.2125000000003
2024-03-01,6,2024-03-07 00:00:00,1891.4624999999994
2024-03-15,6,2024-03-21 00:00:00,2008.4875000000002
2024-03-22,6,2024-03-28 00:00:00,-2679.8749999999995
2024-04-05,5,2024-04-10 00:00:00,2276.5
2024-04-12,6,2024-04-18 00:00:00,-7402.4875
2024-04-19,6,2024-04-25 00:00:00,-7385.3
2024-04-26,6,2024-05-02 00:00:00,1582.8000000000002
2024-05-03,6,2024-05-09 00:00:00,-7898.1
2024-05-10,6,2024-05-16 00:00:00,1269.6374999999998
2024-05-17,6,2024-05-23 00:00:00,566.2125000000001
2024-05-24,6,2024-05-30 00:00:00,794.725
2024-05-31,6,2024-06-06 00:00:00,-4464.137499999999
2024-06-07,6,2024-06-13 00:00:00,380.48750000000064
2024-06-14,6,2024-06-20 00:00:00,1364.9000000000003
2024-06-21,6,2024-06-27 00:00:00,248.64999999999998
2024-06-28,6,2024-07-04 00:00:00,1876.1625000000001
2024-07-05,6,2024-07-11 00:00:00,1004.1125
2024-07-12,6,2024-07-18 00:00:00,680.2
2024-07-19,6,2024-07-25 00:00:00,425.0124999999998
2024-07-26,6,2024-08-01 00:00:00,-297.9749999999999
2024-08-02,6,2024-08-08 00:00:00,-6039.85
2024-08-09,5,2024-08-14 00:00:00,1438.3374999999996
2024-08-16,6,2024-08-22 00:00:00,1006.35
2024-08-23,6,2024-08-29 00:00:00,917.3874999999998
2024-08-30,6,2024-09-05 00:00:00,713.0875
2024-09-06,6,2024-09-12 00:00:00,-309.5875000000001
2024-09-13,6,2024-09-19 00:00:00,1359.6875
2024-09-20,6,2024-09-26 00:00:00,-4758.862499999999
2024-09-27,6,2024-10-03 00:00:00,-12659.862500000001
