Date,DaysToExpiry,ExpiryDate,PnL
2021-06-04,6,2021-06-10 00:00:00,1038.3187500000004
2021-06-11,6,2021-06-17 00:00:00,968.4937500000003
2021-06-18,6,2021-06-24 00:00:00,-1006.2624999999994
2021-06-25,6,2021-07-01 00:00:00,1254.1687500000005
2021-07-02,6,2021-07-08 00:00:00,873.7125000000003
2021-07-09,6,2021-07-15 00:00:00,1175.5874999999999
2021-07-16,6,2021-07-22 00:00:00,-922.5937499999999
2021-07-23,6,2021-07-29 00:00:00,-1147.8500000000001
2021-07-30,6,2021-08-05 00:00:00,-5317.2437500000015
2021-08-06,6,2021-08-12 00:00:00,1502.30625
2021-08-13,5,2021-08-18 00:00:00,400.23125000000016
2021-08-20,6,2021-08-26 00:00:00,1297.2562500000004
2021-08-27,6,2021-09-02 00:00:00,-7318.049999999999
2021-09-03,6,2021-09-09 00:00:00,1427.3999999999996
2021-09-17,6,2021-09-23 00:00:00,-1918.8812499999997
2021-09-24,6,2021-09-30 00:00:00,1378.6124999999997
2021-10-01,6,2021-10-07 00:00:00,1831.66875
2021-10-08,6,2021-10-14 00:00:00,1073.9625
2021-10-22,6,2021-10-28 00:00:00,-1109.2375000000002
2021-10-29,5,2021-11-03 00:00:00,3191.550000000001
2021-11-12,6,2021-11-18 00:00:00,-2783.40625
2021-11-26,6,2021-12-02 00:00:00,-836.1999999999994
2021-12-03,6,2021-12-09 00:00:00,3000.506250000001
2021-12-10,6,2021-12-16 00:00:00,1599.88125
2021-12-17,6,2021-12-23 00:00:00,-1011.5500000000002
2021-12-24,6,2021-12-30 00:00:00,1974.2062500000002
2021-12-31,6,2022-01-06 00:00:00,161.39999999999986
2022-01-07,6,2022-01-13 00:00:00,1175.1750000000002
2022-01-14,6,2022-01-20 00:00:00,1327.78125
2022-01-21,6,2022-01-27 00:00:00,-1997.4687500000005
2022-01-28,6,2022-02-03 00:00:00,4484.08125
2022-02-04,6,2022-02-10 00:00:00,-2473.4124999999995
2022-02-11,6,2022-02-17 00:00:00,-1753.6312499999995
2022-02-18,6,2022-02-24 00:00:00,3284.53125
2022-02-25,6,2022-03-03 00:00:00,3527.175
2022-03-04,6,2022-03-10 00:00:00,3924.88125
2022-03-11,6,2022-03-17 00:00:00,-2654.643750000001
2022-03-25,6,2022-03-31 00:00:00,1726.0875
2022-04-01,6,2022-04-07 00:00:00,37.89374999999927
2022-04-08,5,2022-04-13 00:00:00,1902.1874999999995
2022-04-22,6,2022-04-28 00:00:00,-1752.4499999999998
2022-04-29,6,2022-05-05 00:00:00,-1766.0750000000005
2022-05-06,6,2022-05-12 00:00:00,2091.093750000001
2022-05-13,6,2022-05-19 00:00:00,2266.10625
