Date,DaysToExpiry,ExpiryDate,PnL
2021-06-04,6,2021-06-10 00:00:00,1032.0500000000004
2021-06-11,6,2021-06-17 00:00:00,1130.1750000000002
2021-06-18,6,2021-06-24 00:00:00,673.9124999999999
2021-06-25,6,2021-07-01 00:00:00,1278.3500000000001
2021-07-02,6,2021-07-08 00:00:00,919.925
2021-07-09,6,2021-07-15 00:00:00,1268.4000000000003
2021-07-16,6,2021-07-22 00:00:00,129.83749999999998
2021-07-23,6,2021-07-29 00:00:00,101.11249999999984
2021-07-30,6,2021-08-05 00:00:00,-14142.912499999997
2021-08-06,6,2021-08-12 00:00:00,1629.2500000000002
2021-08-13,5,2021-08-18 00:00:00,723.7249999999999
2021-08-20,6,2021-08-26 00:00:00,1317.9749999999997
2021-08-27,6,2021-09-02 00:00:00,-10815.099999999997
2021-09-03,6,2021-09-09 00:00:00,1794.7749999999999
2021-09-17,6,2021-09-23 00:00:00,173.00000000000023
2021-09-24,6,2021-09-30 00:00:00,1720.8250000000003
2021-10-01,6,2021-10-07 00:00:00,1931.9750000000004
2021-10-08,6,2021-10-14 00:00:00,1311.3249999999998
2021-10-22,6,2021-10-28 00:00:00,669.2625
2021-10-29,5,2021-11-03 00:00:00,3407.7750000000015
2021-11-12,6,2021-11-18 00:00:00,-815.6499999999996
2021-11-26,6,2021-12-02 00:00:00,1318.062500000001
2021-12-03,6,2021-12-09 00:00:00,4625.924999999999
2021-12-10,6,2021-12-16 00:00:00,1949.4499999999998
2021-12-17,6,2021-12-23 00:00:00,1128.2499999999998
2021-12-24,6,2021-12-30 00:00:00,2139.274999999999
2021-12-31,6,2022-01-06 00:00:00,155.06250000000023
2022-01-07,6,2022-01-13 00:00:00,1731.0250000000003
2022-01-14,6,2022-01-20 00:00:00,1581.9750000000004
2022-01-21,6,2022-01-27 00:00:00,934.9999999999995
2022-01-28,6,2022-02-03 00:00:00,5167.800000000002
2022-02-04,6,2022-02-10 00:00:00,683.9874999999997
2022-02-11,6,2022-02-17 00:00:00,754.0874999999996
2022-02-18,6,2022-02-24 00:00:00,3344.1000000000004
2022-02-25,6,2022-03-03 00:00:00,4012.2
2022-03-04,6,2022-03-10 00:00:00,4132.35
2022-03-11,6,2022-03-17 00:00:00,-3286.7124999999996
2022-03-25,6,2022-03-31 00:00:00,2021.000000000001
2022-04-01,6,2022-04-07 00:00:00,1083.2875000000001
2022-04-08,5,2022-04-13 00:00:00,2164.899999999999
2022-04-22,6,2022-04-28 00:00:00,586.0375000000006
2022-04-29,6,2022-05-05 00:00:00,-4758.2875
2022-05-06,6,2022-05-12 00:00:00,-6424.049999999999
2022-05-13,6,2022-05-19 00:00:00,2453.225000000001
2022-05-20,6,2022-05-26 00:00:00,2392.9500000000007
2022-05-27,6,2022-06-02 00:00:00,1475.5000000000005
2022-06-03,6,2022-06-09 00:00:00,421.1500000000008
2022-06-10,6,2022-06-16 00:00:00,-10630.362499999997
2022-06-24,6,2022-06-30 00:00:00,2127.9750000000004
2022-07-01,6,2022-07-07 00:00:00,1890.7500000000002
2022-07-08,6,2022-07-14 00:00:00,1533.7499999999998
2022-07-15,6,2022-07-21 00:00:00,-6383.075000000001
2022-07-22,6,2022-07-28 00:00:00,1323.8
2022-07-29,6,2022-08-04 00:00:00,1633.3750000000005
2022-08-05,6,2022-08-11 00:00:00,1838.5000000000005
2022-08-12,6,2022-08-18 00:00:00,761.4249999999997
2022-08-19,6,2022-08-25 00:00:00,268.8125000000001
2022-08-26,6,2022-09-01 00:00:00,571.5875000000004
2022-09-02,6,2022-09-08 00:00:00,1729.275
2022-09-09,6,2022-09-15 00:00:00,1149.7500000000002
2022-09-16,6,2022-09-22 00:00:00,805.9500000000005
2022-09-23,6,2022-09-29 00:00:00,-13166.837500000005
2022-09-30,6,2022-10-06 00:00:00,694.3624999999997
2022-10-07,6,2022-10-13 00:00:00,1507.7999999999997
2022-10-14,6,2022-10-20 00:00:00,1327.8750000000005
2022-10-21,6,2022-10-27 00:00:00,1159.675
2022-10-28,6,2022-11-03 00:00:00,649.0625000000002
2022-11-04,6,2022-11-10 00:00:00,925.575
2022-11-11,6,2022-11-17 00:00:00,1191.5749999999998
2022-11-18,6,2022-11-24 00:00:00,991.5999999999999
2022-11-25,6,2022-12-01 00:00:00,-777.5625000000001
2022-12-02,6,2022-12-08 00:00:00,845.3
2022-12-09,6,2022-12-15 00:00:00,580.3875
2022-12-16,6,2022-12-22 00:00:00,1219.0250000000003
2022-12-23,6,2022-12-29 00:00:00,1921.6500000000005
2022-12-30,6,2023-01-05 00:00:00,1070.6749999999997
2023-01-06,6,2023-01-12 00:00:00,1014.45
2023-01-13,6,2023-01-19 00:00:00,1682.2749999999999
2023-01-20,5,2023-01-25 00:00:00,991.1500000000001
2023-01-27,6,2023-02-02 00:00:00,3951.7999999999993
2023-02-03,6,2023-02-09 00:00:00,1767.6499999999996
2023-02-10,6,2023-02-16 00:00:00,1024.7
2023-02-17,6,2023-02-23 00:00:00,-6482.0999999999985
2023-02-24,6,2023-03-02 00:00:00,452.00000000000045
2023-03-03,6,2023-03-09 00:00:00,511.3375000000001
2023-03-10,6,2023-03-16 00:00:00,-4275.275000000001
2023-03-17,6,2023-03-23 00:00:00,866.7625000000005
2023-03-24,5,2023-03-29 00:00:00,1496.0500000000004
2023-03-31,6,2023-04-06 00:00:00,-358.8874999999996
2023-04-21,6,2023-04-27 00:00:00,1046.1999999999998
2023-04-28,6,2023-05-04 00:00:00,-2059.9375
2023-05-05,6,2023-05-11 00:00:00,583.4999999999999
2023-05-12,6,2023-05-18 00:00:00,1060.65
2023-05-19,6,2023-05-25 00:00:00,350.0500000000002
2023-05-26,6,2023-06-01 00:00:00,180.13749999999982
2023-06-02,6,2023-06-08 00:00:00,1149.5250000000003
2023-06-09,6,2023-06-15 00:00:00,971.4750000000004
2023-06-16,6,2023-06-22 00:00:00,395.6625
2023-06-23,6,2023-06-29 00:00:00,747.9
2023-06-30,6,2023-07-06 00:00:00,-5456.449999999999
2023-07-07,6,2023-07-13 00:00:00,1055.3000000000002
2023-07-14,6,2023-07-20 00:00:00,-7004.925000000001
2023-07-21,6,2023-07-27 00:00:00,1555.5999999999997
2023-07-28,6,2023-08-03 00:00:00,1743.6750000000002
2023-08-04,6,2023-08-10 00:00:00,1010.1500000000001
