Date,DaysToExpiry,ExpiryDate,PnL
2024-07-03,2.0,2024-07-05 00:00:00,6019.2
2024-07-10,2.0,2024-07-12 00:00:00,426.5799999999999
2024-07-16,2.0,2024-07-19 00:00:00,5788.680000000001
2024-07-24,2.0,2024-07-26 00:00:00,1272.62
2024-07-31,2.0,2024-08-02 00:00:00,6914.72
2024-08-07,2.0,2024-08-09 00:00:00,8463.439999999999
2024-08-13,2.0,2024-08-16 00:00:00,457.16999999999825
2024-08-21,2.0,2024-08-23 00:00:00,3972.3200000000006
2024-08-28,2.0,2024-08-30 00:00:00,755.5700000000006
2024-09-04,2.0,2024-09-06 00:00:00,4058.6400000000003
2024-09-11,2.0,2024-09-13 00:00:00,-317.24999999999955
2024-09-18,2.0,2024-09-20 00:00:00,-9120.289999999999
2024-09-25,2.0,2024-09-27 00:00:00,355.1900000000005
2024-10-01,2.0,2024-10-04 00:00:00,-34851.88
2024-10-09,2.0,2024-10-11 00:00:00,9923.899999999998
2024-10-16,2.0,2024-10-18 00:00:00,1346.2300000000005
2024-10-23,2.0,2024-10-25 00:00:00,7630.060000000002
2024-10-29,2.0,2024-10-31 00:00:00,697.3700000000026
2024-11-06,2.0,2024-11-08 00:00:00,9091.900000000001
2024-11-12,2.0,2024-11-14 00:00:00,-11219.539999999997
2024-11-19,2.0,2024-11-22 00:00:00,307.0799999999999
2024-11-27,2.0,2024-11-29 00:00:00,-5171.8300000000045
2024-12-04,2.0,2024-12-06 00:00:00,4767.469999999996
2024-12-11,2.0,2024-12-13 00:00:00,-876.2000000000025
2024-12-18,2.0,2024-12-20 00:00:00,-21558.510000000002
2024-12-24,2.0,2024-12-27 00:00:00,7015.08
2025-01-03,2.0,2025-01-03 00:00:00,4085.4799999999996
2025-01-10,2.0,2025-01-14 00:00:00,-3641.5999999999967
2025-01-17,2.0,2025-01-21 00:00:00,811.3999999999996
2025-01-24,2.0,2025-01-28 00:00:00,-61.60000000000218
2025-01-31,2.0,2025-02-04 00:00:00,29759.560000000005
2025-02-07,2.0,2025-02-11 00:00:00,-19198.140000000007
2025-02-14,2.0,2025-02-18 00:00:00,1008.519999999995
2025-02-21,2.0,2025-02-25 00:00:00,1759.1399999999976
2025-02-28,2.0,2025-03-04 00:00:00,1191.510000000003
2025-03-07,2.0,2025-03-11 00:00:00,6924.8200000000015
2025-03-13,2.0,2025-03-18 00:00:00,-5186.970000000003
2025-03-21,2.0,2025-03-25 00:00:00,-5325.579999999996
2025-03-27,2.0,2025-04-01 00:00:00,9706.179999999998
2025-04-04,2.0,2025-04-08 00:00:00,10153.120000000006
2025-04-09,2.0,2025-04-15 00:00:00,-11336.529999999999
2025-04-17,2.0,2025-04-22 00:00:00,-5255.120000000001
2025-04-25,2.0,2025-04-29 00:00:00,804.1999999999989
2025-05-02,2.0,2025-05-06 00:00:00,-1023.6100000000006
2025-05-09,2.0,2025-05-13 00:00:00,9805.849999999999
2025-05-16,2.0,2025-05-20 00:00:00,8404.139999999998
2025-05-23,2.0,2025-05-27 00:00:00,576.7600000000002
2025-05-30,2.0,2025-06-03 00:00:00,-175.57000000000517
2025-06-06,2.0,2025-06-10 00:00:00,892.8299999999999
2025-06-13,2.0,2025-06-17 00:00:00,9609.399999999998
2025-06-20,2.0,2025-06-24 00:00:00,1744.319999999998
2025-06-27,2.0,2025-07-01 00:00:00,7950.100000000001
2025-07-04,2.0,2025-07-08 00:00:00,4805.62
2025-07-11,2.0,2025-07-15 00:00:00,927.23
2025-07-18,2.0,2025-07-22 00:00:00,1507.8400000000001
2025-07-25,2.0,2025-07-29 00:00:00,1165.4400000000005
2025-08-01,2.0,2025-08-05 00:00:00,7038.519999999998
2025-08-08,2.0,2025-08-12 00:00:00,94.22000000000025
2025-08-14,2.0,2025-08-19 00:00:00,-6743.939999999999
2025-08-22,2.0,2025-08-26 00:00:00,4315.62
