Date,DaysToExpiry,ExpiryDate,PnL
2021-06-07,3,2021-06-10 00:00:00,1423.3
2021-06-14,3,2021-06-17 00:00:00,-690.8625000000002
2021-06-21,3,2021-06-24 00:00:00,5.5625
2021-06-28,3,2021-07-01 00:00:00,1205.95
2021-07-05,3,2021-07-08 00:00:00,1069.875
2021-07-12,3,2021-07-15 00:00:00,1235.2749999999999
2021-07-19,3,2021-07-22 00:00:00,-1156.787499999999
2021-07-26,3,2021-07-29 00:00:00,-1508.6624999999988
2021-08-02,3,2021-08-05 00:00:00,-2517.4625000000005
2021-08-09,3,2021-08-12 00:00:00,1144.175
2021-08-16,2,2021-08-18 00:00:00,1679.0750000000003
2021-08-23,3,2021-08-26 00:00:00,1348.0749999999996
2021-08-30,3,2021-09-02 00:00:00,-629.412499999999
2021-09-06,3,2021-09-09 00:00:00,1351.5499999999997
2021-09-13,3,2021-09-16 00:00:00,-3995.9125
2021-09-20,3,2021-09-23 00:00:00,1611.0000000000002
2021-09-27,3,2021-09-30 00:00:00,-933.8750000000007
2021-10-04,3,2021-10-07 00:00:00,1376.2749999999996
2021-10-11,3,2021-10-14 00:00:00,-2984.1375
2021-10-18,3,2021-10-21 00:00:00,-2097.8250000000007
2021-10-25,3,2021-10-28 00:00:00,2932.7249999999995
2021-11-01,2,2021-11-03 00:00:00,2766.725
2021-11-08,3,2021-11-11 00:00:00,-3.9125000000008185
2021-11-15,3,2021-11-18 00:00:00,-2910.2999999999997
2021-11-22,3,2021-11-25 00:00:00,-1199.3625000000006
2021-11-29,3,2021-12-02 00:00:00,3917.125
2021-12-13,3,2021-12-16 00:00:00,-4020.312499999999
2021-12-20,3,2021-12-23 00:00:00,-8067.674999999999
2021-12-27,3,2021-12-30 00:00:00,470.5
2022-01-03,3,2022-01-06 00:00:00,-300.27500000000055
2022-01-10,3,2022-01-13 00:00:00,1739.9499999999998
2022-01-17,3,2022-01-20 00:00:00,-5236.7125
2022-01-24,3,2022-01-27 00:00:00,-1.41249999999809
2022-01-31,3,2022-02-03 00:00:00,6235.025
2022-02-07,3,2022-02-10 00:00:00,-1506.0874999999992
2022-02-14,3,2022-02-17 00:00:00,5015.100000000001
2022-02-21,3,2022-02-24 00:00:00,3086.6499999999996
2022-02-28,3,2022-03-03 00:00:00,1657.6124999999984
2022-03-07,3,2022-03-10 00:00:00,-7648.5250000000015
2022-03-14,3,2022-03-17 00:00:00,-4999.2
2022-03-21,3,2022-03-24 00:00:00,3570.2749999999996
2022-03-28,3,2022-03-31 00:00:00,2328.2250000000004
2022-04-04,3,2022-04-07 00:00:00,566.0999999999992
2022-04-11,2,2022-04-13 00:00:00,1719.1750000000004
2022-04-18,3,2022-04-21 00:00:00,-2718.0125000000016
2022-04-25,3,2022-04-28 00:00:00,2925.7249999999995
2022-05-02,3,2022-05-05 00:00:00,2614.4500000000003
2022-05-09,3,2022-05-12 00:00:00,3385.5250000000005
2022-05-16,3,2022-05-19 00:00:00,-557.7750000000001
2022-05-23,3,2022-05-26 00:00:00,3600.7499999999995
2022-05-30,3,2022-06-02 00:00:00,2561.2500000000005
2022-06-06,3,2022-06-09 00:00:00,2648.3999999999996
2022-06-13,3,2022-06-16 00:00:00,3032.324999999999
2022-06-20,3,2022-06-23 00:00:00,-1485.3500000000004
2022-06-27,3,2022-06-30 00:00:00,2230.275
2022-07-04,3,2022-07-07 00:00:00,-1522.8999999999996
2022-07-11,3,2022-07-14 00:00:00,1581.4000000000005
2022-07-18,3,2022-07-21 00:00:00,-4402.0
2022-07-25,3,2022-07-28 00:00:00,2205.825
2022-08-01,3,2022-08-04 00:00:00,2031.2500000000002
2022-08-08,3,2022-08-11 00:00:00,1696.0750000000005
2022-08-22,3,2022-08-25 00:00:00,1466.1750000000002
2022-08-29,3,2022-09-01 00:00:00,-953.9250000000015
2022-09-05,3,2022-09-08 00:00:00,1757.1000000000001
2022-09-12,3,2022-09-15 00:00:00,1559.0749999999996
2022-09-19,3,2022-09-22 00:00:00,-1502.875
2022-09-26,3,2022-09-29 00:00:00,3207.9249999999993
2022-10-03,3,2022-10-06 00:00:00,2351.425
2022-10-10,3,2022-10-13 00:00:00,1801.4999999999993
2022-10-17,3,2022-10-20 00:00:00,-2174.1124999999993
2022-10-31,3,2022-11-03 00:00:00,602.5250000000001
2022-11-07,3,2022-11-10 00:00:00,1128.5000000000002
2022-11-14,3,2022-11-17 00:00:00,1217.675
2022-11-21,3,2022-11-24 00:00:00,1136.2499999999998
2022-11-28,3,2022-12-01 00:00:00,-3137.175000000001
2022-12-05,3,2022-12-08 00:00:00,1252.525
2022-12-12,3,2022-12-15 00:00:00,-1154.312499999999
2022-12-19,3,2022-12-22 00:00:00,1388.3249999999998
2022-12-26,3,2022-12-29 00:00:00,2014.975
2023-01-02,3,2023-01-05 00:00:00,1402.6500000000005
2023-01-09,3,2023-01-12 00:00:00,1017.6499999999999
2023-01-16,3,2023-01-19 00:00:00,1273.0000000000005
2023-01-23,2,2023-01-25 00:00:00,1629.0999999999997
2023-01-30,3,2023-02-02 00:00:00,4421.425000000001
2023-02-06,3,2023-02-09 00:00:00,1721.375
2023-02-13,3,2023-02-16 00:00:00,-1074.8249999999998
2023-02-20,3,2023-02-23 00:00:00,-3729.500000000001
2023-02-27,3,2023-03-02 00:00:00,1862.6999999999996
2023-03-06,3,2023-03-09 00:00:00,841.375
2023-03-13,3,2023-03-16 00:00:00,-4698.175
2023-03-20,3,2023-03-23 00:00:00,2151.9500000000003
2023-03-27,2,2023-03-29 00:00:00,1970.2749999999999
2023-04-03,3,2023-04-06 00:00:00,-1180.1374999999996
2023-04-10,3,2023-04-13 00:00:00,999.3250000000004
2023-04-17,3,2023-04-20 00:00:00,1564.7250000000004
2023-04-24,3,2023-04-27 00:00:00,170.57499999999993
2023-05-08,3,2023-05-11 00:00:00,1045.8999999999999
2023-05-15,3,2023-05-18 00:00:00,1234.9999999999998
2023-05-22,3,2023-05-25 00:00:00,929.8750000000002
2023-05-29,3,2023-06-01 00:00:00,1138.3749999999998
2023-06-05,3,2023-06-08 00:00:00,1145.15
2023-06-12,3,2023-06-15 00:00:00,960.6999999999999
2023-06-19,3,2023-06-22 00:00:00,855.9499999999999
2023-06-26,3,2023-06-29 00:00:00,795.65
2023-07-03,3,2023-07-06 00:00:00,1073.35
2023-07-10,3,2023-07-13 00:00:00,1074.45
2023-07-17,3,2023-07-20 00:00:00,-3165.8
2023-07-24,3,2023-07-27 00:00:00,1955.7250000000001
2023-07-31,3,2023-08-03 00:00:00,1522.65
2023-08-07,3,2023-08-10 00:00:00,1114.5500000000004
2023-08-14,3,2023-08-17 00:00:00,1038.8750000000005
2023-08-21,3,2023-08-24 00:00:00,955.5750000000003
2023-08-28,3,2023-08-31 00:00:00,1267.2749999999996
2023-09-04,3,2023-09-07 00:00:00,800.3250000000002
2023-09-11,3,2023-09-14 00:00:00,-527.2499999999995
2023-09-18,3,2023-09-21 00:00:00,-5195.275000000001
2023-09-25,3,2023-09-28 00:00:00,1406.4250000000002
2023-10-09,3,2023-10-12 00:00:00,-1805.0500000000006
2023-10-16,3,2023-10-19 00:00:00,1328.55
2023-10-23,3,2023-10-26 00:00:00,-3335.525000000001
2023-10-30,3,2023-11-02 00:00:00,617.7875000000006
2023-11-06,3,2023-11-09 00:00:00,989.075
2023-11-13,3,2023-11-16 00:00:00,-3397.025000000001
2023-11-20,3,2023-11-23 00:00:00,1268.325
2023-12-04,3,2023-12-07 00:00:00,-2922.2375
2023-12-11,3,2023-12-14 00:00:00,1191.4500000000003
