Date,DaysToExpiry,ExpiryDate,PnL
2024-07-04,1.0,2024-07-05 00:00:00,-162.04999999999973
2024-07-11,1.0,2024-07-12 00:00:00,-2798.55
2024-07-18,1.0,2024-07-19 00:00:00,2632.72
2024-07-25,1.0,2024-07-26 00:00:00,-9059.230000000001
2024-08-01,1.0,2024-08-02 00:00:00,-2296.4400000000005
2024-08-08,1.0,2024-08-09 00:00:00,4408.52
2024-08-14,1.0,2024-08-16 00:00:00,-7873.0
2024-08-22,1.0,2024-08-23 00:00:00,1885.6000000000001
2024-08-29,1.0,2024-08-30 00:00:00,162.34000000000015
2024-09-05,1.0,2024-09-06 00:00:00,-7677.920000000001
2024-09-12,1.0,2024-09-13 00:00:00,830.3299999999999
2024-09-19,1.0,2024-09-20 00:00:00,-5321.13
2024-09-26,1.0,2024-09-27 00:00:00,4530.33
2024-10-03,1.0,2024-10-04 00:00:00,-3819.7999999999993
2024-10-10,1.0,2024-10-11 00:00:00,4174.21
2024-10-17,1.0,2024-10-18 00:00:00,1130.5799999999992
2024-10-24,1.0,2024-10-25 00:00:00,176.45000000000073
2024-10-30,1.0,2024-10-31 00:00:00,2375.0200000000004
2024-11-07,1.0,2024-11-08 00:00:00,1324.6200000000003
2024-11-13,1.0,2024-11-14 00:00:00,3139.52
2024-11-21,1.0,2024-11-22 00:00:00,-10498.25
2024-11-28,1.0,2024-11-29 00:00:00,4296.36
2024-12-05,1.0,2024-12-06 00:00:00,6195.789999999999
2024-12-12,1.0,2024-12-13 00:00:00,-2880.98
2024-12-19,1.0,2024-12-20 00:00:00,-5192.2699999999995
2024-12-26,1.0,2024-12-27 00:00:00,4390.67
2025-01-06,1.0,2025-01-07 00:00:00,5584.65
2025-01-13,1.0,2025-01-14 00:00:00,2320.0499999999997
2025-01-20,1.0,2025-01-21 00:00:00,-8159.610000000001
2025-01-27,1.0,2025-01-28 00:00:00,279.30999999999995
2025-02-03,1.0,2025-02-04 00:00:00,-9016.070000000003
2025-02-10,1.0,2025-02-11 00:00:00,-3355.88
2025-02-17,1.0,2025-02-18 00:00:00,4694.75
2025-02-24,1.0,2025-02-25 00:00:00,2458.48
2025-03-03,1.0,2025-03-04 00:00:00,3366.59
2025-03-10,1.0,2025-03-11 00:00:00,1747.3200000000002
2025-03-17,1.0,2025-03-18 00:00:00,-6877.6
2025-03-24,1.0,2025-03-25 00:00:00,226.79999999999927
2025-03-28,1.0,2025-04-01 00:00:00,-10460.76
2025-04-07,1.0,2025-04-08 00:00:00,-8829.89
2025-04-11,1.0,2025-04-15 00:00:00,-8706.410000000002
2025-04-21,1.0,2025-04-22 00:00:00,3099.8899999999994
2025-04-28,1.0,2025-04-29 00:00:00,2391.27
2025-05-05,1.0,2025-05-06 00:00:00,1437.7799999999997
2025-05-12,1.0,2025-05-13 00:00:00,1434.1000000000022
2025-05-19,1.0,2025-05-20 00:00:00,2644.8699999999994
2025-05-26,1.0,2025-05-27 00:00:00,728.7099999999982
2025-06-02,1.0,2025-06-03 00:00:00,7712.259999999999
2025-06-09,1.0,2025-06-10 00:00:00,2561.81
2025-06-16,1.0,2025-06-17 00:00:00,2784.7799999999997
2025-06-23,1.0,2025-06-24 00:00:00,-130.23000000000002
2025-06-30,1.0,2025-07-01 00:00:00,3048.0699999999993
2025-07-07,1.0,2025-07-08 00:00:00,2434.4500000000003
2025-07-14,1.0,2025-07-15 00:00:00,2426.34
2025-07-21,1.0,2025-07-22 00:00:00,2216.08
2025-07-28,1.0,2025-07-29 00:00:00,2383.58
2025-08-04,1.0,2025-08-05 00:00:00,3237.179999999999
2025-08-11,1.0,2025-08-12 00:00:00,548.9000000000001
2025-08-18,1.0,2025-08-19 00:00:00,2902.16
2025-08-25,1.0,2025-08-26 00:00:00,-3093.7699999999995
