Date,DaysToExpiry,ExpiryDate,PnL
2024-07-05,0.25,2024-07-05 00:00:00,10416.699999999999
2024-07-12,0.25,2024-07-12 00:00:00,-15205.64
2024-07-19,0.25,2024-07-19 00:00:00,-3395.779999999997
2024-07-26,0.25,2024-07-26 00:00:00,-18592.25
2024-08-02,0.25,2024-08-02 00:00:00,13646.3
2024-08-09,0.25,2024-08-09 00:00:00,11477.38
2024-08-16,0.25,2024-08-16 00:00:00,-548.5700000000015
2024-08-23,0.25,2024-08-23 00:00:00,10802.099999999999
2024-08-30,0.25,2024-08-30 00:00:00,10122.84
2024-09-06,0.25,2024-09-06 00:00:00,-11784.59
2024-09-13,0.25,2024-09-13 00:00:00,12155.78
2024-09-20,0.25,2024-09-20 00:00:00,-10023.549999999996
2024-09-27,0.25,2024-09-27 00:00:00,7744.799999999999
2024-10-04,0.25,2024-10-04 00:00:00,-10183.9
2024-10-11,0.25,2024-10-11 00:00:00,9407.100000000002
2024-10-18,0.25,2024-10-18 00:00:00,-11769.349999999991
2024-10-25,0.25,2024-10-25 00:00:00,-8714.85
2024-10-31,0.25,2024-10-31 00:00:00,8181.420000000001
2024-11-08,0.25,2024-11-08 00:00:00,17407.559999999998
2024-11-14,0.25,2024-11-14 00:00:00,2403.129999999999
2024-11-22,0.25,2024-11-22 00:00:00,-34440.93
2024-11-29,0.25,2024-11-29 00:00:00,25907.68
2024-12-06,0.25,2024-12-06 00:00:00,18024.360000000004
2024-12-13,0.25,2024-12-13 00:00:00,-33251.899999999994
2024-12-20,0.25,2024-12-20 00:00:00,-25180.45
2024-12-27,0.25,2024-12-27 00:00:00,15677.639999999996
2025-01-07,0.25,2025-01-07 00:00:00,672.8999999999996
2025-01-14,0.25,2025-01-14 00:00:00,7407.420000000001
2025-01-21,0.25,2025-01-21 00:00:00,-19452.48
2025-01-28,0.25,2025-01-28 00:00:00,2030.3499999999985
2025-02-04,0.25,2025-02-04 00:00:00,-29129.489999999987
2025-02-11,0.25,2025-02-11 00:00:00,-5271.77
2025-02-18,0.25,2025-02-18 00:00:00,20635.46
2025-02-25,0.25,2025-02-25 00:00:00,-532.6700000000001
2025-03-04,0.25,2025-03-04 00:00:00,10264.799999999997
2025-03-11,0.25,2025-03-11 00:00:00,1418.5999999999995
2025-03-18,0.25,2025-03-18 00:00:00,-4844.43
2025-03-25,0.25,2025-03-25 00:00:00,-41.95000000000073
2025-04-01,0.25,2025-04-01 00:00:00,-29267.880000000005
2025-04-08,0.25,2025-04-08 00:00:00,-10452.210000000001
2025-04-15,0.25,2025-04-15 00:00:00,10116.499999999998
2025-04-22,0.25,2025-04-22 00:00:00,2353.449999999998
2025-04-29,0.25,2025-04-29 00:00:00,198.9900000000007
2025-05-06,0.25,2025-05-06 00:00:00,2847.64
2025-05-13,0.25,2025-05-13 00:00:00,-18398.659999999996
2025-05-20,0.25,2025-05-20 00:00:00,-6543.02
2025-05-27,0.25,2025-05-27 00:00:00,2006.8199999999997
2025-06-03,0.25,2025-06-03 00:00:00,41196.2
2025-06-10,0.25,2025-06-10 00:00:00,12580.740000000002
2025-06-17,0.25,2025-06-17 00:00:00,9389.18
2025-06-24,0.25,2025-06-24 00:00:00,-16874.04
2025-07-01,0.25,2025-07-01 00:00:00,11487.62
2025-07-08,0.25,2025-07-08 00:00:00,7675.599999999999
2025-07-15,0.25,2025-07-15 00:00:00,-3933.409999999998
2025-07-22,0.25,2025-07-22 00:00:00,5804.14
2025-07-29,0.25,2025-07-29 00:00:00,141.54000000000087
2025-08-05,0.25,2025-08-05 00:00:00,2920.170000000001
2025-08-12,0.25,2025-08-12 00:00:00,-8896.289999999997
2025-08-19,0.25,2025-08-19 00:00:00,1938.2699999999995
2025-08-26,0.25,2025-08-26 00:00:00,8383.48
