Date,DaysToExpiry,ExpiryDate,PnL
2024-07-05,0.25,2024-07-05 00:00:00,2897.6099999999983
2024-07-12,0.25,2024-07-12 00:00:00,-2899.0700000000006
2024-07-19,0.25,2024-07-19 00:00:00,-8018.130000000002
2024-07-26,0.25,2024-07-26 00:00:00,-7818.990000000001
2024-08-02,0.25,2024-08-02 00:00:00,4630.1550000000025
2024-08-09,0.25,2024-08-09 00:00:00,3544.0499999999997
2024-08-16,0.25,2024-08-16 00:00:00,-911.9349999999995
2024-08-23,0.25,2024-08-23 00:00:00,3175.9800000000014
2024-08-30,0.25,2024-08-30 00:00:00,3213.000000000001
2024-09-06,0.25,2024-09-06 00:00:00,-3899.7300000000014
2024-09-13,0.25,2024-09-13 00:00:00,3880.7700000000004
2024-09-20,0.25,2024-09-20 00:00:00,-5191.554999999998
2024-09-27,0.25,2024-09-27 00:00:00,2882.955
2024-10-04,0.25,2024-10-04 00:00:00,-680.0900000000001
2024-10-11,0.25,2024-10-11 00:00:00,2907.87
2024-10-18,0.25,2024-10-18 00:00:00,-8363.62999999999
2024-10-25,0.25,2024-10-25 00:00:00,-6399.644999999998
2024-10-31,0.25,2024-10-31 00:00:00,2458.5000000000014
2024-11-08,0.25,2024-11-08 00:00:00,4913.4
2024-11-14,0.25,2024-11-14 00:00:00,4671.600000000002
2024-11-22,0.25,2024-11-22 00:00:00,-7028.935000000009
2024-11-29,0.25,2024-11-29 00:00:00,8102.385000000001
2024-12-06,0.25,2024-12-06 00:00:00,8047.605000000001
2024-12-13,0.25,2024-12-13 00:00:00,-35.719999999998436
2024-12-20,0.25,2024-12-20 00:00:00,-6.975000000002183
2024-12-27,0.25,2024-12-27 00:00:00,5288.550000000002
2025-01-07,0.25,2025-01-07 00:00:00,4111.679999999999
2025-01-14,0.25,2025-01-14 00:00:00,2872.395000000002
2025-01-21,0.25,2025-01-21 00:00:00,-10100.985
2025-01-28,0.25,2025-01-28 00:00:00,-5288.324999999999
2025-02-04,0.25,2025-02-04 00:00:00,-8972.599999999995
2025-02-11,0.25,2025-02-11 00:00:00,5182.335
2025-02-18,0.25,2025-02-18 00:00:00,6409.724999999999
2025-02-25,0.25,2025-02-25 00:00:00,2640.705
2025-03-04,0.25,2025-03-04 00:00:00,3317.5349999999976
2025-03-11,0.25,2025-03-11 00:00:00,2512.515000000001
2025-03-18,0.25,2025-03-18 00:00:00,-6328.124999999999
2025-03-25,0.25,2025-03-25 00:00:00,5889.165000000001
2025-04-01,0.25,2025-04-01 00:00:00,-11363.625
2025-04-08,0.25,2025-04-08 00:00:00,-2820.2500000000027
2025-04-15,0.25,2025-04-15 00:00:00,3534.8549999999996
2025-04-22,0.25,2025-04-22 00:00:00,2502.0599999999995
2025-04-29,0.25,2025-04-29 00:00:00,-1617.1850000000004
2025-05-06,0.25,2025-05-06 00:00:00,1106.1
2025-05-13,0.25,2025-05-13 00:00:00,293.5500000000011
2025-05-20,0.25,2025-05-20 00:00:00,-10360.610000000002
2025-05-27,0.25,2025-05-27 00:00:00,-3692.3650000000034
2025-06-03,0.25,2025-06-03 00:00:00,11486.925000000001
2025-06-10,0.25,2025-06-10 00:00:00,4026.9000000000005
2025-06-17,0.25,2025-06-17 00:00:00,3056.1150000000007
2025-06-24,0.25,2025-06-24 00:00:00,-7154.8
2025-07-01,0.25,2025-07-01 00:00:00,3472.875
2025-07-08,0.25,2025-07-08 00:00:00,2249.085
2025-07-15,0.25,2025-07-15 00:00:00,-1020.9250000000006
2025-07-22,0.25,2025-07-22 00:00:00,1770.9299999999994
2025-07-29,0.25,2025-07-29 00:00:00,2450.8499999999995
2025-08-05,0.25,2025-08-05 00:00:00,2279.7300000000005
2025-08-12,0.25,2025-08-12 00:00:00,2515.41
2025-08-19,0.25,2025-08-19 00:00:00,2185.0950000000003
2025-08-26,0.25,2025-08-26 00:00:00,2399.385
