Date,DaysToExpiry,ExpiryDate,PnL
2021-06-04,6,2021-06-10 00:00:00,518.7000000000002
2021-06-11,6,2021-06-17 00:00:00,108.83749999999975
2021-06-18,6,2021-06-24 00:00:00,401.71875000000045
2021-06-25,6,2021-07-01 00:00:00,475.9125
2021-07-02,6,2021-07-08 00:00:00,253.91249999999997
2021-07-09,6,2021-07-15 00:00:00,621.7124999999999
2021-07-16,6,2021-07-22 00:00:00,-250.9437499999999
2021-07-23,6,2021-07-29 00:00:00,124.8812499999998
2021-07-30,6,2021-08-05 00:00:00,-8002.08125
2021-08-06,6,2021-08-12 00:00:00,704.08125
2021-08-13,5,2021-08-18 00:00:00,689.0437499999999
2021-08-20,6,2021-08-26 00:00:00,-425.4375
2021-08-27,6,2021-09-02 00:00:00,-4584.831249999999
2021-09-03,6,2021-09-09 00:00:00,730.425
2021-09-17,6,2021-09-23 00:00:00,411.11250000000007
2021-09-24,6,2021-09-30 00:00:00,878.4937500000001
2021-10-01,6,2021-10-07 00:00:00,731.8687500000003
2021-10-08,6,2021-10-14 00:00:00,592.3312500000001
2021-10-22,6,2021-10-28 00:00:00,1066.7624999999998
2021-10-29,5,2021-11-03 00:00:00,-361.26874999999995
2021-11-12,6,2021-11-18 00:00:00,691.4812499999999
2021-11-26,6,2021-12-02 00:00:00,800.8437499999998
2021-12-03,6,2021-12-09 00:00:00,555.0874999999997
2021-12-10,6,2021-12-16 00:00:00,681.3500000000006
2021-12-17,6,2021-12-23 00:00:00,1070.2749999999999
2021-12-24,6,2021-12-30 00:00:00,552.2750000000001
2021-12-31,6,2022-01-06 00:00:00,504.10000000000025
2022-01-07,6,2022-01-13 00:00:00,376.10624999999993
2022-01-14,6,2022-01-20 00:00:00,741.7875000000003
2022-01-21,6,2022-01-27 00:00:00,607.7124999999994
2022-01-28,6,2022-02-03 00:00:00,2459.9750000000004
2022-02-04,6,2022-02-10 00:00:00,489.26874999999995
2022-02-11,6,2022-02-17 00:00:00,497.9062499999998
2022-02-18,6,2022-02-24 00:00:00,1803.15
2022-02-25,6,2022-03-03 00:00:00,2807.062499999999
2022-03-04,6,2022-03-10 00:00:00,1201.531250000001
2022-03-11,6,2022-03-17 00:00:00,-1534.1937500000004
2022-03-25,6,2022-03-31 00:00:00,1299.24375
2022-04-01,6,2022-04-07 00:00:00,686.675
2022-04-08,5,2022-04-13 00:00:00,390.3812499999999
2022-04-22,6,2022-04-28 00:00:00,452.46249999999907
2022-04-29,6,2022-05-05 00:00:00,-756.675
2022-05-06,6,2022-05-12 00:00:00,1581.75
2022-05-13,6,2022-05-19 00:00:00,950.9812500000007
2022-05-20,6,2022-05-26 00:00:00,1146.83125
2022-05-27,6,2022-06-02 00:00:00,931.2812500000001
2022-06-03,6,2022-06-09 00:00:00,1039.5750000000003
2022-06-10,6,2022-06-16 00:00:00,-9169.174999999997
2022-06-24,6,2022-06-30 00:00:00,882.9125000000001
2022-07-01,6,2022-07-07 00:00:00,688.3999999999997
2022-07-08,6,2022-07-14 00:00:00,816.99375
2022-07-15,6,2022-07-21 00:00:00,-4426.631250000001
2022-07-22,6,2022-07-28 00:00:00,924.73125
2022-07-29,6,2022-08-04 00:00:00,585.9625000000002
2022-08-05,6,2022-08-11 00:00:00,997.10625
2022-08-12,6,2022-08-18 00:00:00,514.1437500000001
2022-08-19,6,2022-08-25 00:00:00,402.9875000000002
2022-08-26,6,2022-09-01 00:00:00,183.34374999999966
2022-09-02,6,2022-09-08 00:00:00,1090.10625
2022-09-09,6,2022-09-15 00:00:00,798.8250000000002
2022-09-16,6,2022-09-22 00:00:00,728.0125000000003
2022-09-23,6,2022-09-29 00:00:00,1060.875
2022-09-30,6,2022-10-06 00:00:00,489.68750000000034
2022-10-07,6,2022-10-13 00:00:00,371.2000000000003
2022-10-14,6,2022-10-20 00:00:00,797.0500000000001
2022-10-21,6,2022-10-27 00:00:00,1027.1062500000003
2022-10-28,6,2022-11-03 00:00:00,460.81249999999994
2022-11-04,6,2022-11-10 00:00:00,624.8062500000001
2022-11-11,6,2022-11-17 00:00:00,525.1499999999999
2022-11-18,6,2022-11-24 00:00:00,563.6999999999998
2022-11-25,6,2022-12-01 00:00:00,-334.0500000000002
2022-12-02,6,2022-12-08 00:00:00,498.8625
2022-12-09,6,2022-12-15 00:00:00,539.53125
2022-12-16,6,2022-12-22 00:00:00,720.5250000000001
2022-12-23,6,2022-12-29 00:00:00,895.2375
2022-12-30,6,2023-01-05 00:00:00,594.8625000000002
2023-01-06,6,2023-01-12 00:00:00,498.99375000000003
2023-01-13,6,2023-01-19 00:00:00,629.23125
2023-01-20,5,2023-01-25 00:00:00,440.3437500000001
2023-01-27,6,2023-02-02 00:00:00,1267.849999999999
2023-02-03,6,2023-02-09 00:00:00,868.7812499999995
2023-02-10,6,2023-02-16 00:00:00,246.53125000000006
2023-02-17,6,2023-02-23 00:00:00,-1836.2624999999994
2023-02-24,6,2023-03-02 00:00:00,585.4124999999999
2023-03-03,6,2023-03-09 00:00:00,247.34999999999997
2023-03-10,6,2023-03-16 00:00:00,-3082.6375000000007
2023-03-17,6,2023-03-23 00:00:00,593.2125000000003
2023-03-24,5,2023-03-29 00:00:00,945.0374999999999
2023-03-31,6,2023-04-06 00:00:00,708.6187499999999
2023-04-21,6,2023-04-27 00:00:00,519.7312500000003
2023-04-28,6,2023-05-04 00:00:00,154.35000000000008
2023-05-05,6,2023-05-11 00:00:00,242.3562500000001
2023-05-12,6,2023-05-18 00:00:00,443.7374999999998
2023-05-19,6,2023-05-25 00:00:00,247.57500000000022
2023-05-26,6,2023-06-01 00:00:00,348.73749999999995
2023-06-02,6,2023-06-08 00:00:00,659.8125000000002
2023-06-09,6,2023-06-15 00:00:00,559.125
2023-06-16,6,2023-06-22 00:00:00,274.33750000000003
2023-06-23,6,2023-06-29 00:00:00,340.8375
2023-06-30,6,2023-07-06 00:00:00,-1864.00625
2023-07-07,6,2023-07-13 00:00:00,563.1374999999999
2023-07-14,6,2023-07-20 00:00:00,-4644.425000000002
2023-07-21,6,2023-07-27 00:00:00,821.5687500000001
2023-07-28,6,2023-08-03 00:00:00,934.40625
2023-08-04,6,2023-08-10 00:00:00,733.5374999999999
2023-08-11,6,2023-08-17 00:00:00,66.14374999999995
2023-08-18,6,2023-08-24 00:00:00,418.1812500000001
2023-08-25,6,2023-08-31 00:00:00,615.3749999999998
2023-09-01,6,2023-09-07 00:00:00,481.4625000000002
2023-09-08,6,2023-09-14 00:00:00,121.375
2023-09-15,6,2023-09-21 00:00:00,-5524.15625
2023-09-22,6,2023-09-28 00:00:00,741.39375
2023-09-29,6,2023-10-05 00:00:00,71.72499999999991
2023-10-06,6,2023-10-12 00:00:00,-84.71875
2023-10-13,6,2023-10-19 00:00:00,804.2062500000001
2023-10-20,6,2023-10-26 00:00:00,-4488.443749999999
2023-10-27,6,2023-11-02 00:00:00,1594.5
2023-11-03,6,2023-11-09 00:00:00,411.85624999999976
2023-11-10,6,2023-11-16 00:00:00,-5126.068749999999
2023-11-17,6,2023-11-23 00:00:00,506.38124999999997
2023-11-24,6,2023-11-30 00:00:00,-211.06875000000002
2023-12-01,6,2023-12-07 00:00:00,-4303.093749999995
2023-12-08,6,2023-12-14 00:00:00,681.7499999999998
2023-12-15,6,2023-12-21 00:00:00,449.83749999999975
2023-12-22,6,2023-12-28 00:00:00,-448.2937500000003
2023-12-29,6,2024-01-04 00:00:00,957.1874999999999
2024-01-05,6,2024-01-11 00:00:00,625.89375
2024-01-12,6,2024-01-18 00:00:00,812.5250000000003
2024-01-19,6,2024-01-25 00:00:00,1481.2124999999996
2024-02-02,6,2024-02-08 00:00:00,1399.6312499999995
2024-02-09,6,2024-02-15 00:00:00,1243.6687499999996
2024-02-16,6,2024-02-22 00:00:00,983.6062500000007
2024-02-23,6,2024-02-29 00:00:00,1193.7749999999999
2024-03-01,6,2024-03-07 00:00:00,943.2375000000004
2024-03-15,6,2024-03-21 00:00:00,949.5749999999998
2024-03-22,6,2024-03-28 00:00:00,924.8062499999996
2024-04-05,5,2024-04-10 00:00:00,689.1937499999999
2024-04-12,6,2024-04-18 00:00:00,-5579.2750000000015
2024-04-19,6,2024-04-25 00:00:00,-19.368750000001
2024-04-26,6,2024-05-02 00:00:00,672.1937500000003
2024-05-03,6,2024-05-09 00:00:00,1174.4624999999999
2024-05-10,6,2024-05-16 00:00:00,502.9312499999998
2024-05-17,6,2024-05-23 00:00:00,284.9812500000003
2024-05-24,6,2024-05-30 00:00:00,586.14375
2024-05-31,6,2024-06-06 00:00:00,4522.081249999999
2024-06-07,6,2024-06-13 00:00:00,1611.2437499999996
2024-06-14,6,2024-06-20 00:00:00,417.97500000000025
2024-06-21,6,2024-06-27 00:00:00,-3875.9062499999995
2024-06-28,6,2024-07-04 00:00:00,1024.2562500000001
2024-07-05,6,2024-07-11 00:00:00,459.60625000000005
2024-07-12,6,2024-07-18 00:00:00,582.3000000000002
2024-07-19,6,2024-07-25 00:00:00,2085.481249999998
2024-07-26,6,2024-08-01 00:00:00,823.2124999999994
2024-08-02,6,2024-08-08 00:00:00,-1821.9624999999999
2024-08-09,5,2024-08-14 00:00:00,934.875
2024-08-16,6,2024-08-22 00:00:00,582.7312499999998
2024-08-23,6,2024-08-29 00:00:00,324.69375000000014
2024-08-30,6,2024-09-05 00:00:00,402.1312499999998
2024-09-06,6,2024-09-12 00:00:00,828.8625
2024-09-13,6,2024-09-19 00:00:00,679.21875
2024-09-20,6,2024-09-26 00:00:00,-2714.3500000000004
2024-09-27,6,2024-10-03 00:00:00,-14676.5125
