Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2025-07-08,12.08,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,83498.58,82800.0,83200,83800,84500.0,2025-07-08 00:00:00,0.25,Tuesday,1.1,2.3,1.6,0.85,0,6.9,4.800000000000001,0,0.69,0.48,,,,,7.799999999999999
2025-07-08,,0,Long,2025-07-08 15:00:00,2025-07-08 15:00:00,2025-07-08 15:00:00,2025-07-08 15:00:00,,82800.0,83200,83800,84500.0,2025-07-08 00:00:00,0.25,Tuesday,"[0.55, 0.55]","[0.9, 0.9]","[2.35, 2.35]","[0.6, 0.6]",0,,,0,,,Exit,Universal exit,Universal exit,Exit,-8.400000000000002
2025-07-09,11.88,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,83605.34,81900.0,82400,84800,85200.0,2025-07-15 00:00:00,4.0,Wednesday,37.55,70.65,75.2,37.1,0,211.95,225.6,0,21.195,22.56,,,,,284.80000000000007
2025-07-09,,0,Long,2025-07-11 11:01:00,2025-07-11 11:01:00,2025-07-10 15:22:00,2025-07-10 15:22:00,,81900.0,82400,84800,85200.0,2025-07-15 00:00:00,4.0,Wednesday,"[90.75, 1.7]","[215.3, 12.6]","[21.65, 21.65]","[10.6, 10.6]",0,,,0,,,Exit,SL hit,Target hit,Exit,-428.75000000000017
2025-07-10,11.67,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,83348.96,81700.0,82200,84400,84800.0,2025-07-15 00:00:00,3.0,Thursday,27.0,53.85,71.75,33.8,0,161.55,215.25,0,16.155,21.525,,,,,259.2
2025-07-10,,0,Long,2025-07-11 11:10:00,2025-07-11 11:10:00,2025-07-11 09:22:00,2025-07-11 09:22:00,,81700.0,82200,84400,84800.0,2025-07-15 00:00:00,3.0,Thursday,"[70.35, 1.65]","[169.1, 3.2]","[21.5, 21.5]","[11.3, 11.3]",0,,,0,,,Exit,SL hit,Target hit,Exit,-338.6
2025-07-11,11.88,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,82508.69,81100.0,81600,83400,83800.0,2025-07-15 00:00:00,2.0,Friday,22.6,48.4,68.65,33.4,0,145.2,205.95,0,14.52,20.595,,,,,244.20000000000005
2025-07-11,,0,Long,2025-07-15 09:16:00,2025-07-15 09:16:00,2025-07-14 09:32:00,2025-07-14 09:32:00,,81100.0,81600,83400,83800.0,2025-07-15 00:00:00,2.0,Friday,"[3.5, 3.5]","[9.85, 9.85]","[20.35, 20.35]","[10.35, 10.35]",0,,,0,,,Exit,Target hit,Target hit,Exit,-65.4
2025-07-14,12.01,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,82152.93,81300.0,81600,82800,83100.0,2025-07-15 00:00:00,1.0,Monday,24.4,49.05,53.95,29.3,0,147.14999999999998,161.85000000000002,0,14.714999999999998,16.185,,,,,197.2
2025-07-14,,0,Long,2025-07-15 09:16:00,2025-07-15 09:16:00,2025-07-15 09:55:00,2025-07-15 09:55:00,,81300.0,81600,82800,83100.0,2025-07-15 00:00:00,1.0,Monday,"[4.75, 4.75]","[9.85, 9.85]","[15.05, 15.05]","[6.9, 6.9]",0,,,0,,,Exit,Target hit,Target hit,Exit,-52.99999999999999
2025-07-15,11.55,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,82543.31,81700.0,82200,82800,83100.0,2025-07-15 00:00:00,0.25,Tuesday,2.0,4.25,5.35,2.45,0,12.75,16.049999999999997,0,1.275,1.6049999999999998,,,,,20.599999999999998
2025-07-15,,0,Long,2025-07-15 15:00:00,2025-07-15 15:00:00,2025-07-15 15:00:00,2025-07-15 15:00:00,,81700.0,82200,82800,83100.0,2025-07-15 00:00:00,0.25,Tuesday,"[1.65, 1.65]","[3.2, 3.2]","[3.9, 3.9]","[2.6, 2.6]",0,,,0,,,Exit,Universal exit,Universal exit,Exit,-11.400000000000002
2025-07-16,11.28,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,82695.13,81000.0,81500,83900,84300.0,2025-07-22 00:00:00,4.0,Wednesday,31.45,60.6,51.4,24.6,0,181.8,154.2,0,18.18,15.419999999999998,,,,,223.8
2025-07-16,,0,Long,2025-07-18 10:17:00,2025-07-18 10:17:00,2025-07-18 09:16:00,2025-07-18 09:16:00,,81000.0,81500,83900,84300.0,2025-07-22 00:00:00,4.0,Wednesday,"[87.4, 1.0]","[192.8, 1.4]","[13.95, 13.95]","[7.15, 7.15]",0,,,0,,,Exit,SL hit,Target hit,Exit,-343.79999999999995
2025-07-17,11.36,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,82336.74,80800.0,81300,83300,83700.0,2025-07-22 00:00:00,3.0,Thursday,27.4,56.95,72.4,35.55,0,170.85000000000002,217.2,0,17.085,21.72,,,,,265.60000000000014
2025-07-17,,0,Long,2025-07-18 10:21:00,2025-07-18 10:21:00,2025-07-21 09:16:00,2025-07-21 09:16:00,,80800.0,81300,83300,83700.0,2025-07-22 00:00:00,3.0,Thursday,"[78.8, 0.9]","[172.85, 1.2]","[11.5, 11.5]","[5.5, 5.5]",0,,,0,,,Exit,SL hit,Target hit,Exit,-306.45000000000005
2025-07-18,11.39,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,81806.2,80600.0,81000,82600,83000.0,2025-07-22 00:00:00,2.0,Friday,32.3,64.05,97.0,46.45,0,192.15,291.0,0,19.215,29.1,,,,,329.20000000000005
2025-07-18,,0,Long,2025-07-21 10:36:00,2025-07-21 10:36:00,2025-07-21 09:27:00,2025-07-21 09:27:00,,80600.0,81000,82600,83000.0,2025-07-22 00:00:00,2.0,Friday,"[8.85, 8.85]","[19.15, 19.15]","[28.8, 28.8]","[13.4, 13.4]",0,,,0,,,Exit,Target hit,Target hit,Exit,-102.80000000000001
2025-07-21,11.29,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,82009.1,81100.0,81400,82600,82900.0,2025-07-22 00:00:00,1.0,Monday,20.4,39.25,44.1,20.3,0,117.75,132.3,0,11.775,13.23,,,,,170.59999999999997
2025-07-21,,0,Long,2025-07-22 09:15:00,2025-07-22 09:15:00,2025-07-22 11:10:00,2025-07-22 11:10:00,,81100.0,81400,82600,82900.0,2025-07-22 00:00:00,1.0,Monday,"[8.1, 8.1]","[2.65, 2.65]","[12.95, 12.95]","[5.55, 5.55]",0,,,0,,,Exit,Target hit,Target hit,Exit,-7.799999999999997
2025-07-22,10.84,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,82214.42,81600.0,81900,82500,82900.0,2025-07-22 00:00:00,0.25,Tuesday,2.2,4.3,5.25,2.6,0,12.9,15.75,0,1.2899999999999998,1.575,,,,,19.0
2025-07-22,,0,Long,2025-07-22 14:55:00,2025-07-22 14:55:00,2025-07-22 14:57:00,2025-07-22 14:57:00,,81600.0,81900,82500,82900.0,2025-07-22 00:00:00,0.25,Tuesday,"[0.9, 0.9]","[1.15, 1.15]","[1.4, 1.4]","[0.95, 0.95]",0,,,0,,,Exit,Target hit,Target hit,Exit,-2.799999999999999
2025-07-23,10.59,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,82658.24,81100.0,81600,83800,84200.0,2025-07-29 00:00:00,4.0,Wednesday,29.45,60.0,48.45,23.65,0,180.0,145.35000000000002,0,18.0,14.535,,,,,221.40000000000003
2025-07-23,,0,Long,2025-07-25 09:16:00,2025-07-25 09:16:00,2025-07-24 15:17:00,2025-07-24 15:17:00,,81100.0,81600,83800,84200.0,2025-07-29 00:00:00,4.0,Wednesday,"[75.35, 2.25]","[185.8, 373.85]","[14.2, 14.2]","[7.55, 7.55]",0,,,0,,,Exit,SL hit,Target hit,Exit,-729.5500000000001
2025-07-24,10.82,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,82234.12,80700.0,81200,83200,83600.0,2025-07-29 00:00:00,3.0,Thursday,26.8,51.8,58.55,28.45,0,155.39999999999998,175.64999999999998,0,15.54,17.564999999999998,,,,,220.39999999999998
2025-07-24,,0,Long,2025-07-25 10:32:00,2025-07-25 10:32:00,2025-07-25 13:37:00,2025-07-25 13:37:00,,80700.0,81200,83200,83600.0,2025-07-29 00:00:00,3.0,Thursday,"[74.0, 1.35]","[161.5, 12.75]","[17.35, 17.35]","[10.45, 10.45]",0,,,0,,,Exit,SL hit,Target hit,Exit,-301.49999999999994
2025-07-25,11.32,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,81476.41,80300.0,80700,82300,82700.0,2025-07-29 00:00:00,2.0,Friday,28.4,57.2,71.35,37.5,0,171.60000000000002,214.05,0,17.16,21.405,,,,,250.60000000000002
2025-07-25,,0,Long,2025-07-29 12:39:00,2025-07-29 12:39:00,2025-07-28 12:48:00,2025-07-28 12:48:00,,80300.0,80700,82300,82700.0,2025-07-29 00:00:00,2.0,Friday,"[5.75, 5.75]","[16.95, 16.95]","[21.1, 21.1]","[11.25, 11.25]",0,,,0,,,Exit,Target hit,Target hit,Exit,-84.19999999999999
2025-07-28,12.15,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,80874.96,80000.0,80300,81500,81900.0,2025-07-29 00:00:00,1.0,Monday,22.35,43.35,59.5,28.0,0,130.05,178.5,0,13.005,17.849999999999998,,,,,209.99999999999997
2025-07-28,,0,Long,2025-07-29 11:18:00,2025-07-29 11:18:00,2025-07-29 10:14:00,2025-07-29 10:14:00,,80000.0,80300,81500,81900.0,2025-07-29 00:00:00,1.0,Monday,"[5.85, 5.85]","[11.65, 11.65]","[16.5, 16.5]","[8.4, 8.4]",0,,,0,,,Exit,Target hit,Target hit,Exit,-55.60000000000001
2025-07-29,11.68,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,81306.92,80700.0,81000,81600,81800.0,2025-07-29 00:00:00,0.25,Tuesday,2.85,5.65,6.65,3.35,0,16.950000000000003,19.950000000000003,0,1.695,1.995,,,,,24.400000000000002
2025-07-29,,0,Long,2025-07-29 14:58:00,2025-07-29 14:58:00,2025-07-29 14:47:00,2025-07-29 14:47:00,,80700.0,81000,81600,81800.0,2025-07-29 00:00:00,0.25,Tuesday,"[0.95, 0.95]","[1.5, 1.5]","[1.95, 1.95]","[1.5, 1.5]",0,,,0,,,Exit,Target hit,Target hit,Exit,-4.000000000000002
2025-07-30,11.26,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,81564.94,79900.0,80500,82700,83100.0,2025-08-05 00:00:00,4.0,Wednesday,41.6,85.1,81.45,43.5,0,255.3,244.35,0,25.53,24.435,,,,,325.80000000000007
2025-07-30,,0,Long,2025-07-31 09:17:00,2025-07-31 09:17:00,2025-08-01 09:18:00,2025-08-01 09:18:00,,79900.0,80500,82700,83100.0,2025-08-05 00:00:00,4.0,Wednesday,"[147.35, 2.25]","[279.5, 8.5]","[24.2, 24.2]","[13.05, 13.05]",0,,,0,,,Exit,SL hit,Target hit,Exit,-447.3
2025-07-31,11.52,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,81500.87,79800.0,80500,82500,82900.0,2025-08-05 00:00:00,3.0,Thursday,55.25,112.2,79.35,41.1,0,336.6,238.05,0,33.66,23.805,,,,,380.80000000000007
2025-07-31,,0,Long,2025-08-01 15:12:00,2025-08-01 15:12:00,2025-08-01 13:38:00,2025-08-01 13:38:00,,79800.0,80500,82500,82900.0,2025-08-05 00:00:00,3.0,Thursday,"[119.65, 2.25]","[341.65, 8.5]","[23.25, 23.25]","[11.6, 11.6]",0,,,0,,,Exit,SL hit,Target hit,Exit,-718.8499999999998
2025-08-01,11.86,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,80796.93,79600.0,80000,81600,82000.0,2025-08-05 00:00:00,2.0,Friday,53.0,100.6,97.9,47.7,0,301.79999999999995,293.70000000000005,0,30.18,29.37,,,,,391.2
2025-08-01,,0,Long,2025-08-04 13:47:00,2025-08-04 13:47:00,2025-08-05 09:17:00,2025-08-05 09:17:00,,79600.0,80000,81600,82000.0,2025-08-05 00:00:00,2.0,Friday,"[12.2, 12.2]","[27.65, 27.65]","[23.75, 23.75]","[7.1, 7.1]",0,,,0,,,Exit,Target hit,Target hit,Exit,-128.39999999999998
2025-08-04,12.03,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,81034.4,80100.0,80400,81600,81900.0,2025-08-05 00:00:00,1.0,Monday,31.7,58.8,67.6,29.4,0,176.39999999999998,202.8,0,17.639999999999997,20.28,,,,,261.2
2025-08-04,,0,Long,2025-08-05 12:11:00,2025-08-05 12:11:00,2025-08-05 09:22:00,2025-08-05 09:22:00,,80100.0,80400,81600,81900.0,2025-08-05 00:00:00,1.0,Monday,"[5.55, 5.55]","[15.9, 15.9]","[19.25, 19.25]","[8.35, 8.35]",0,,,0,,,Exit,Target hit,Target hit,Exit,-85.0
2025-08-05,11.83,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,80640.48,80000.0,80300,80900,81100.0,2025-08-05 00:00:00,0.25,Tuesday,1.95,4.1,6.8,3.25,0,12.3,20.4,0,1.2299999999999998,2.04,,,,,22.799999999999994
2025-08-05,,0,Long,2025-08-05 15:00:00,2025-08-05 15:00:00,2025-08-05 14:53:00,2025-08-05 14:53:00,,80000.0,80300,80900,81100.0,2025-08-05 00:00:00,0.25,Tuesday,"[2.35, 2.35]","[3.0, 3.0]","[1.95, 1.95]","[1.55, 1.55]",0,,,0,,,Exit,Universal exit,Target hit,Exit,-4.200000000000001
2025-08-06,11.83,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,80563.36,78900.0,79400,81800,82200.0,2025-08-12 00:00:00,4.0,Wednesday,46.2,88.2,68.5,34.6,0,264.6,205.5,0,26.46,20.55,,,,,303.5999999999999
2025-08-06,,0,Long,2025-08-11 13:34:00,2025-08-11 13:34:00,2025-08-07 13:19:00,2025-08-07 13:19:00,,78900.0,79400,81800,82200.0,2025-08-12 00:00:00,4.0,Wednesday,"[9.65, 9.65]","[26.25, 26.25]","[20.55, 20.55]","[12.05, 12.05]",0,,,0,,,Exit,Target hit,Target hit,Exit,-100.39999999999998
2025-08-07,11.93,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,80183.07,78700.0,79200,81200,81600.0,2025-08-12 00:00:00,3.0,Thursday,41.6,78.85,75.7,35.75,0,236.55,227.1,0,23.655,22.71,,,,,308.80000000000007
2025-08-07,,0,Long,2025-08-11 11:24:00,2025-08-11 11:24:00,2025-08-11 09:31:00,2025-08-11 09:31:00,,78700.0,79200,81200,81600.0,2025-08-12 00:00:00,3.0,Thursday,"[8.45, 8.45]","[22.7, 22.7]","[21.55, 21.55]","[10.15, 10.15]",0,,,0,,,Exit,Target hit,Target hit,Exit,-102.6
2025-08-08,11.95,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,79988.55,78800.0,79200,80800,81200.0,2025-08-12 00:00:00,2.0,Friday,35.65,69.3,90.2,44.0,0,207.9,270.6,0,20.79,27.06,,,,,319.4
2025-08-08,,0,Long,2025-08-11 12:55:00,2025-08-11 12:55:00,2025-08-12 10:02:00,2025-08-12 10:02:00,,78800.0,79200,80800,81200.0,2025-08-12 00:00:00,2.0,Friday,"[9.35, 9.35]","[20.2, 20.2]","[322.9, 4.25]","[107.25, 3.05]",0,,,0,,,Exit,Target hit,SL hit,Exit,-691.55
2025-08-11,12.25,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,80397.78,79500.0,79800,81000,81200.0,2025-08-12 00:00:00,1.0,Monday,26.0,49.65,44.9,23.55,0,148.95,134.7,0,14.895,13.47,,,,,180.0
2025-08-11,,0,Long,2025-08-12 09:21:00,2025-08-12 09:21:00,2025-08-12 09:59:00,2025-08-12 09:59:00,,79500.0,79800,81000,81200.0,2025-08-12 00:00:00,1.0,Monday,"[6.4, 6.4]","[13.55, 13.55]","[138.0, 3.65]","[70.65, 3.05]",0,,,0,,,Exit,Target hit,SL hit,Exit,-231.24999999999991
2025-08-12,12.26,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,80424.71,79900.0,80100,80700,80900.0,2025-08-12 00:00:00,0.25,Tuesday,4.35,9.3,14.15,6.25,0,27.9,42.45,0,2.79,4.245,,,,,51.40000000000001
2025-08-12,,0,Long,2025-08-12 15:00:00,2025-08-12 15:00:00,2025-08-12 14:49:00,2025-08-12 14:49:00,,79900.0,80100,80700,80900.0,2025-08-12 00:00:00,0.25,Tuesday,"[2.95, 2.95]","[8.4, 8.4]","[4.2, 4.2]","[2.5, 2.5]",0,,,0,,,Exit,Universal exit,Target hit,Exit,-28.599999999999998
2025-08-13,12.18,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,80584.23,78900.0,79500,81700,82100.0,2025-08-19 00:00:00,3.0,Wednesday,33.5,71.2,81.65,41.1,0,213.6,244.95,0,21.36,24.495,,,,,313.0000000000001
2025-08-13,,0,Long,2025-08-18 09:16:00,2025-08-18 09:16:00,2025-08-18 09:16:00,2025-08-18 09:16:00,,78900.0,79500,81700,82100.0,2025-08-19 00:00:00,3.0,Wednesday,"[5.4, 5.4]","[10.05, 10.05]","[285.15, 9.65]","[142.75, 1.4]",0,,,0,,,Exit,Target hit,SL hit,Exit,-454.0499999999999
2025-08-14,12.41,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,80589.14,79200.0,79700,81500,81800.0,2025-08-19 00:00:00,2.0,Thursday,34.65,72.7,72.1,39.45,0,218.1,216.3,0,21.81,21.63,,,,,282.80000000000007
2025-08-14,,0,Long,2025-08-18 09:16:00,2025-08-18 09:16:00,2025-08-18 09:16:00,2025-08-18 09:16:00,,79200.0,79700,81500,81800.0,2025-08-19 00:00:00,2.0,Thursday,"[7.0, 7.0]","[13.6, 13.6]","[389.85, 128.95]","[241.9, 3.25]",0,,,0,,,Exit,Target hit,SL hit,Exit,-595.95
2025-08-18,12.41,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,81459.95,80600.0,80900,82100,82400.0,2025-08-19 00:00:00,1.0,Monday,28.85,55.65,56.5,24.6,0,166.95,169.5,0,16.695,16.95,,,,,234.8
2025-08-18,,0,Long,2025-08-19 10:03:00,2025-08-19 10:03:00,2025-08-19 09:16:00,2025-08-19 09:16:00,,80600.0,80900,82100,82400.0,2025-08-19 00:00:00,1.0,Monday,"[6.85, 6.85]","[16.0, 16.0]","[15.3, 15.3]","[6.6, 6.6]",0,,,0,,,Exit,Target hit,Target hit,Exit,-71.4
2025-08-19,11.88,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,81615.65,81000.0,81300,81900,82100.0,2025-08-19 00:00:00,0.25,Tuesday,1.75,3.85,5.25,2.55,0,11.55,15.75,0,1.155,1.575,,,,,19.2
2025-08-19,,0,Long,2025-08-19 15:00:00,2025-08-19 15:00:00,2025-08-19 14:53:00,2025-08-19 14:53:00,,81000.0,81300,81900,82100.0,2025-08-19 00:00:00,0.25,Tuesday,"[1.35, 1.35]","[1.75, 1.75]","[1.5, 1.5]","[1.15, 1.15]",0,,,0,,,Exit,Universal exit,Target hit,Exit,-3.0
2025-08-20,11.79,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,81914.24,80200.0,80700,83100,83500.0,2025-08-26 00:00:00,4.0,Wednesday,33.9,66.0,56.55,26.9,0,198.0,169.64999999999998,0,19.8,16.965,,,,,247.0
2025-08-20,,0,Long,2025-08-25 09:25:00,2025-08-25 09:25:00,2025-08-22 09:52:00,2025-08-22 09:52:00,,80200.0,80700,83100,83500.0,2025-08-26 00:00:00,4.0,Wednesday,"[6.7, 6.7]","[19.75, 19.75]","[16.45, 16.45]","[8.1, 8.1]",0,,,0,,,Exit,Target hit,Target hit,Exit,-85.60000000000001
2025-08-21,11.48,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,82138.75,80600.0,81100,83100,83400.0,2025-08-26 00:00:00,3.0,Thursday,24.25,51.4,51.55,26.75,0,154.2,154.64999999999998,0,15.419999999999998,15.464999999999998,,,,,207.79999999999995
2025-08-21,,0,Long,2025-08-22 10:49:00,2025-08-22 10:49:00,2025-08-22 10:03:00,2025-08-22 10:03:00,,80600.0,81100,83100,83400.0,2025-08-26 00:00:00,3.0,Thursday,"[58.1, 3.45]","[154.2, 164.1]","[15.2, 15.2]","[9.15, 9.15]",0,,,0,,,Exit,SL hit,Target hit,Exit,-473.15
2025-08-22,11.62,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,81424.31,80200.0,80600,82200,82500.0,2025-08-26 00:00:00,2.0,Friday,23.75,52.85,62.35,32.05,0,158.55,187.05,0,15.855,18.705,,,,,237.60000000000002
2025-08-22,,0,Long,2025-08-25 09:25:00,2025-08-25 09:25:00,2025-08-26 09:15:00,2025-08-26 09:15:00,,80200.0,80600,82200,82500.0,2025-08-26 00:00:00,2.0,Friday,"[6.7, 6.7]","[15.6, 15.6]","[14.9, 14.9]","[5.0, 5.0]",0,,,0,,,Exit,Target hit,Target hit,Exit,-75.19999999999999
2025-08-25,11.96,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,81676.98,80800.0,81100,82300,82500.0,2025-08-26 00:00:00,1.0,Monday,15.4,31.0,24.75,12.95,0,93.0,74.25,0,9.3,7.425,,,,,109.6
2025-08-25,,0,Long,2025-08-26 09:21:00,2025-08-26 09:21:00,2025-08-26 09:16:00,2025-08-26 09:16:00,,80800.0,81100,82300,82500.0,2025-08-26 00:00:00,1.0,Monday,"[35.3, 7.95]","[107.35, 164.1]","[7.0, 7.0]","[4.65, 4.65]",0,,,0,,,Exit,SL hit,Target hit,Exit,-381.7
2025-08-26,12.27,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,81053.88,80600.0,80800,81400,82500.0,2025-08-26 00:00:00,0.25,Tuesday,4.35,9.6,4.45,2.25,0,28.8,13.35,0,2.88,1.335,,,,,29.800000000000004
2025-08-26,,0,Long,2025-08-26 15:00:00,2025-08-26 15:00:00,2025-08-26 15:00:00,2025-08-26 15:00:00,,80600.0,80800,81400,82500.0,2025-08-26 00:00:00,0.25,Tuesday,"[3.45, 3.45]","[7.95, 7.95]","[1.9, 1.9]","[1.2, 1.2]",0,,,0,,,Exit,Universal exit,Universal exit,Exit,-20.800000000000004
2025-05-02,18.49,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,80378.69,78000.0,79100,81700,82200.0,2025-05-06 00:00:00,2.0,Friday,89.3,183.0,67.8,31.8,0,549.0,203.4,0,54.9,20.34,,,,,518.8000000000001
2025-05-02,,0,Long,2025-05-05 09:16:00,2025-05-05 09:16:00,2025-05-06 09:15:00,2025-05-06 09:15:00,,78000.0,79100,81700,82200.0,2025-05-06 00:00:00,2.0,Friday,"[19.35, 19.35]","[44.5, 44.5]","[18.95, 18.95]","[5.85, 5.85]",0,,,0,,,Exit,Target hit,Target hit,Exit,-153.0
2025-05-05,18.11,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,80807.16,79200.0,79900,81700,82000.0,2025-05-06 00:00:00,1.0,Monday,28.4,55.85,24.7,12.45,0,167.55,74.1,0,16.755,7.409999999999999,,,,,158.8
2025-05-05,,0,Long,2025-05-06 09:24:00,2025-05-06 09:24:00,2025-05-06 09:25:00,2025-05-06 09:25:00,,79200.0,79900,81700,82000.0,2025-05-06 00:00:00,1.0,Monday,"[5.5, 5.5]","[16.2, 16.2]","[6.95, 6.95]","[4.4, 4.4]",0,,,0,,,Exit,Target hit,Target hit,Exit,-52.99999999999999
2025-05-06,18.63,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,80602.12,78900.0,80100,81100,82000.0,2025-05-06 00:00:00,0.25,Tuesday,1.95,4.05,1.95,0.95,0,12.15,5.85,0,1.215,0.585,,,,,12.4
