Date,DaysToExpiry,ExpiryDate,PnL
2021-06-07,3,2021-06-10 00:00:00,1074.8437499999998
2021-06-14,3,2021-06-17 00:00:00,838.5749999999998
2021-06-21,3,2021-06-24 00:00:00,1304.5125000000003
2021-06-28,3,2021-07-01 00:00:00,909.0187500000004
2021-07-05,3,2021-07-08 00:00:00,585.075
2021-07-12,3,2021-07-15 00:00:00,-1159.41875
2021-07-19,3,2021-07-22 00:00:00,929.6062499999998
2021-07-26,3,2021-07-29 00:00:00,-676.4562500000003
2021-08-02,3,2021-08-05 00:00:00,-1061.0312499999995
2021-08-09,3,2021-08-12 00:00:00,985.3500000000001
2021-08-16,2,2021-08-18 00:00:00,921.6562499999999
2021-08-23,3,2021-08-26 00:00:00,-319.25625000000025
2021-08-30,3,2021-09-02 00:00:00,-1880.1750000000006
2021-09-06,3,2021-09-09 00:00:00,956.6062500000003
2021-09-13,3,2021-09-16 00:00:00,-1656.8999999999999
2021-09-20,3,2021-09-23 00:00:00,984.9562499999996
2021-09-27,3,2021-09-30 00:00:00,-529.5624999999994
2021-10-04,3,2021-10-07 00:00:00,1197.8062499999996
2021-10-11,3,2021-10-14 00:00:00,-706.29375
2021-10-18,3,2021-10-21 00:00:00,-1479.8437499999995
2021-10-25,3,2021-10-28 00:00:00,1915.2562499999997
2021-11-01,2,2021-11-03 00:00:00,1814.2500000000002
2021-11-08,3,2021-11-11 00:00:00,1398.50625
2021-11-15,3,2021-11-18 00:00:00,-2301.437499999999
2021-11-22,3,2021-11-25 00:00:00,2112.91875
2021-11-29,3,2021-12-02 00:00:00,698.4250000000004
2021-12-06,3,2021-12-09 00:00:00,-3448.76875
2021-12-13,3,2021-12-16 00:00:00,1737.6000000000001
2021-12-20,3,2021-12-23 00:00:00,-3064.4187500000003
2021-12-27,3,2021-12-30 00:00:00,1763.2687500000002
2022-01-03,3,2022-01-06 00:00:00,-486.41874999999936
2022-01-10,3,2022-01-13 00:00:00,1058.025
2022-01-17,3,2022-01-20 00:00:00,-4240.368750000001
2022-01-24,3,2022-01-27 00:00:00,3009.3750000000005
2022-01-31,3,2022-02-03 00:00:00,5805.656249999999
2022-02-07,3,2022-02-10 00:00:00,153.69375000000082
2022-02-14,3,2022-02-17 00:00:00,112.88750000000073
2022-02-21,3,2022-02-24 00:00:00,-6710.618749999999
2022-02-28,3,2022-03-03 00:00:00,4764.337500000002
2022-03-07,3,2022-03-10 00:00:00,-5268.950000000001
2022-03-14,3,2022-03-17 00:00:00,2177.7750000000015
2022-03-21,3,2022-03-24 00:00:00,2999.699999999999
2022-03-28,3,2022-03-31 00:00:00,1204.7062500000002
2022-04-04,3,2022-04-07 00:00:00,1443.0562500000003
2022-04-11,2,2022-04-13 00:00:00,-440.05624999999986
2022-04-18,3,2022-04-21 00:00:00,-308.17499999999905
2022-04-25,3,2022-04-28 00:00:00,1869.2437499999994
2022-05-02,3,2022-05-05 00:00:00,1619.0812500000002
2022-05-09,3,2022-05-12 00:00:00,-292.9500000000003
2022-05-16,3,2022-05-19 00:00:00,601.7125000000012
2022-05-23,3,2022-05-26 00:00:00,2004.5625000000002
2022-05-30,3,2022-06-02 00:00:00,1908.8249999999991
2022-06-06,3,2022-06-09 00:00:00,1658.7937499999994
2022-06-13,3,2022-06-16 00:00:00,2005.8374999999999
2022-06-20,3,2022-06-23 00:00:00,160.9312500000001
