Date,DaysToExpiry,ExpiryDate,PnL
2021-06-07,3,2021-06-10 00:00:00,889.9874999999998
2021-06-14,3,2021-06-17 00:00:00,725.6
2021-06-21,3,2021-06-24 00:00:00,644.4875000000001
2021-06-28,3,2021-07-01 00:00:00,802.3
2021-07-05,3,2021-07-08 00:00:00,200.86250000000007
2021-07-12,3,2021-07-15 00:00:00,-206.2500000000001
2021-07-19,3,2021-07-22 00:00:00,216.54999999999984
2021-07-26,3,2021-07-29 00:00:00,175.17500000000007
2021-08-02,3,2021-08-05 00:00:00,-2162.0125
2021-08-09,3,2021-08-12 00:00:00,421.8875
2021-08-16,2,2021-08-18 00:00:00,793.2749999999999
2021-08-23,3,2021-08-26 00:00:00,292.62499999999994
2021-08-30,3,2021-09-02 00:00:00,-1655.4
2021-09-06,3,2021-09-09 00:00:00,837.9749999999999
2021-09-13,3,2021-09-16 00:00:00,-723.0999999999999
2021-09-20,3,2021-09-23 00:00:00,57.862499999999955
2021-09-27,3,2021-09-30 00:00:00,68.02499999999998
2021-10-04,3,2021-10-07 00:00:00,999.725
2021-10-11,3,2021-10-14 00:00:00,-90.1875
2021-10-18,3,2021-10-21 00:00:00,184.375
2021-10-25,3,2021-10-28 00:00:00,1617.325
2021-11-01,2,2021-11-03 00:00:00,816.0625000000003
2021-11-08,3,2021-11-11 00:00:00,1243.0875
2021-11-15,3,2021-11-18 00:00:00,-986.0499999999997
2021-11-22,3,2021-11-25 00:00:00,1945.2125000000005
2021-11-29,3,2021-12-02 00:00:00,1274.9125
2021-12-06,3,2021-12-09 00:00:00,-2782.9125000000004
2021-12-13,3,2021-12-16 00:00:00,1698.0000000000002
2021-12-20,3,2021-12-23 00:00:00,-2722.100000000001
2021-12-27,3,2021-12-30 00:00:00,1496.1375000000003
2022-01-03,3,2022-01-06 00:00:00,496.7624999999996
2022-01-10,3,2022-01-13 00:00:00,982.2375000000001
2022-01-17,3,2022-01-20 00:00:00,-5609.1875
2022-01-24,3,2022-01-27 00:00:00,2682.475
2022-01-31,3,2022-02-03 00:00:00,5174.8125
2022-02-07,3,2022-02-10 00:00:00,557.4124999999999
2022-02-14,3,2022-02-17 00:00:00,1145.2124999999999
2022-02-21,3,2022-02-24 00:00:00,-9917.1375
2022-02-28,3,2022-03-03 00:00:00,4328.725
2022-03-07,3,2022-03-10 00:00:00,-4381.65
2022-03-14,3,2022-03-17 00:00:00,2507.224999999999
2022-03-21,3,2022-03-24 00:00:00,2844.6875
2022-03-28,3,2022-03-31 00:00:00,1175.7375
2022-04-04,3,2022-04-07 00:00:00,1218.0250000000003
2022-04-11,2,2022-04-13 00:00:00,205.96249999999998
2022-04-18,3,2022-04-21 00:00:00,535.2124999999996
2022-04-25,3,2022-04-28 00:00:00,1000.8374999999999
2022-05-02,3,2022-05-05 00:00:00,252.34999999999968
2022-05-09,3,2022-05-12 00:00:00,-840.2749999999996
2022-05-16,3,2022-05-19 00:00:00,1169.5250000000003
2022-05-23,3,2022-05-26 00:00:00,2042.5625
2022-05-30,3,2022-06-02 00:00:00,1655.4750000000001
2022-06-06,3,2022-06-09 00:00:00,394.1124999999997
2022-06-13,3,2022-06-16 00:00:00,1962.6750000000002
2022-06-20,3,2022-06-23 00:00:00,272.21249999999975
2022-06-27,3,2022-06-30 00:00:00,1478.9875000000002
2022-07-04,3,2022-07-07 00:00:00,889.5875000000002
2022-07-11,3,2022-07-14 00:00:00,-211.26250000000005
2022-07-18,3,2022-07-21 00:00:00,-46.57500000000027
2022-07-25,3,2022-07-28 00:00:00,316.5375
2022-08-01,3,2022-08-04 00:00:00,940.7375
