Date,DaysToExpiry,ExpiryDate,PnL
2021-06-08,2,2021-06-10 00:00:00,429.9812500000001
2021-06-15,2,2021-06-17 00:00:00,-895.2062500000001
2021-06-22,2,2021-06-24 00:00:00,-460.5437499999998
2021-06-29,2,2021-07-01 00:00:00,411.1937500000001
2021-07-06,2,2021-07-08 00:00:00,15.874999999999943
2021-07-13,2,2021-07-15 00:00:00,-176.95000000000005
2021-07-20,2,2021-07-22 00:00:00,-119.4562499999999
2021-07-27,2,2021-07-29 00:00:00,-81.53750000000002
2021-08-03,2,2021-08-05 00:00:00,188.08125
2021-08-10,2,2021-08-12 00:00:00,-270.3000000000001
2021-08-17,1,2021-08-18 00:00:00,504.6875
2021-08-24,2,2021-08-26 00:00:00,79.40000000000009
2021-08-31,2,2021-09-02 00:00:00,-154.77499999999998
2021-09-07,2,2021-09-09 00:00:00,446.16875
2021-09-14,2,2021-09-16 00:00:00,-208.63749999999993
2021-09-21,2,2021-09-23 00:00:00,-512.1624999999999
2021-09-28,2,2021-09-30 00:00:00,-279.45624999999995
2021-10-05,2,2021-10-07 00:00:00,121.68124999999998
2021-10-12,2,2021-10-14 00:00:00,-9.887500000000045
2021-10-19,2,2021-10-21 00:00:00,-325.2062499999999
2021-10-26,2,2021-10-28 00:00:00,686.9687499999999
2021-11-02,1,2021-11-03 00:00:00,37.56875000000025
2021-11-09,2,2021-11-11 00:00:00,579.31875
2021-11-16,2,2021-11-18 00:00:00,-632.74375
2021-11-23,2,2021-11-25 00:00:00,-67.86874999999998
2021-11-30,2,2021-12-02 00:00:00,-1123.0875000000003
2021-12-07,2,2021-12-09 00:00:00,-76.4375
2021-12-14,2,2021-12-16 00:00:00,820.9375000000001
2021-12-21,2,2021-12-23 00:00:00,-324.6500000000003
2021-12-28,2,2021-12-30 00:00:00,681.5062500000001
2022-01-04,2,2022-01-06 00:00:00,-115.72499999999991
2022-01-11,2,2022-01-13 00:00:00,580.8812499999999
2022-01-18,2,2022-01-20 00:00:00,-307.225
2022-01-25,2,2022-01-27 00:00:00,268.86874999999964
2022-02-01,2,2022-02-03 00:00:00,2331.031250000001
2022-02-08,2,2022-02-10 00:00:00,-1419.19375
2022-02-15,2,2022-02-17 00:00:00,280.0312500000002
2022-02-22,2,2022-02-24 00:00:00,151.20625000000018
2022-03-08,2,2022-03-10 00:00:00,-755.1125000000002
2022-03-15,2,2022-03-17 00:00:00,-678.8874999999998
2022-03-22,2,2022-03-24 00:00:00,-111.82499999999959
2022-03-29,2,2022-03-31 00:00:00,462.53749999999997
2022-04-05,2,2022-04-07 00:00:00,-731.05
2022-04-12,1,2022-04-13 00:00:00,-244.52499999999998
2022-04-19,2,2022-04-21 00:00:00,-115.9375
2022-04-26,2,2022-04-28 00:00:00,-357.42500000000007
2022-05-10,2,2022-05-12 00:00:00,-417.3812499999997
2022-05-17,2,2022-05-19 00:00:00,180.5312499999999
2022-05-24,2,2022-05-26 00:00:00,1059.70625
2022-05-31,2,2022-06-02 00:00:00,133.08125000000018
2022-06-07,2,2022-06-09 00:00:00,637.24375
2022-06-14,2,2022-06-16 00:00:00,-97.20000000000005
2022-06-21,2,2022-06-23 00:00:00,353.23124999999993
2022-06-28,2,2022-06-30 00:00:00,769.0000000000001
2022-07-05,2,2022-07-07 00:00:00,34.91250000000002
2022-07-12,2,2022-07-14 00:00:00,512.2312499999999
2022-07-19,2,2022-07-21 00:00:00,-389.5062499999998
2022-07-26,2,2022-07-28 00:00:00,571.3000000000001
2022-08-02,2,2022-08-04 00:00:00,617.825
2022-08-16,2,2022-08-18 00:00:00,305.775
2022-08-23,2,2022-08-25 00:00:00,467.85
2022-08-30,2,2022-09-01 00:00:00,-17.80000000000001
2022-09-06,2,2022-09-08 00:00:00,-260.19375000000014
2022-09-13,2,2022-09-15 00:00:00,-1250.8875000000003
2022-09-20,2,2022-09-22 00:00:00,-247.9062500000001
2022-09-27,2,2022-09-29 00:00:00,-179.17499999999995
2022-10-04,2,2022-10-06 00:00:00,474.25625
2022-10-11,2,2022-10-13 00:00:00,-319.2999999999997
2022-10-18,2,2022-10-20 00:00:00,486.40000000000015
2022-10-25,2,2022-10-27 00:00:00,309.64375
2022-11-01,2,2022-11-03 00:00:00,119.77500000000003
2022-11-15,2,2022-11-17 00:00:00,334.74375
2022-11-22,2,2022-11-24 00:00:00,-70.25
2022-11-29,2,2022-12-01 00:00:00,-124.57500000000005
2022-12-06,2,2022-12-08 00:00:00,461.81875
2022-12-13,2,2022-12-15 00:00:00,-276.0875
2022-12-20,2,2022-12-22 00:00:00,-719.7624999999999
2022-12-27,2,2022-12-29 00:00:00,-149.15625
2023-01-03,2,2023-01-05 00:00:00,-245.69999999999993
2023-01-10,2,2023-01-12 00:00:00,-249.7187500000001
2023-01-17,2,2023-01-19 00:00:00,-138.8375000000001
2023-01-24,1,2023-01-25 00:00:00,-276.2125
2023-01-31,2,2023-02-02 00:00:00,-997.4812500000003
2023-02-07,2,2023-02-09 00:00:00,-263.32499999999993
2023-02-14,2,2023-02-16 00:00:00,-101.37500000000023
2023-02-21,2,2023-02-23 00:00:00,-204.51875000000018
2023-02-28,2,2023-03-02 00:00:00,-198.81250000000023
2023-03-14,2,2023-03-16 00:00:00,-803.5749999999999
2023-03-21,2,2023-03-23 00:00:00,678.26875
2023-03-28,1,2023-03-29 00:00:00,630.3062500000001
2023-04-11,2,2023-04-13 00:00:00,-51.5
2023-04-18,2,2023-04-20 00:00:00,-164.875
2023-04-25,2,2023-04-27 00:00:00,238.6375
2023-05-02,2,2023-05-04 00:00:00,260.83750000000003
2023-05-09,2,2023-05-11 00:00:00,299.43125
2023-05-16,2,2023-05-18 00:00:00,-409.68125
2023-05-23,2,2023-05-25 00:00:00,279.19375000000014
2023-05-30,2,2023-06-01 00:00:00,373.4937499999999
2023-06-06,2,2023-06-08 00:00:00,291.13750000000005
2023-06-13,2,2023-06-15 00:00:00,249.92500000000004
2023-06-20,2,2023-06-22 00:00:00,-184.8499999999999
2023-06-27,2,2023-06-29 00:00:00,128.38125000000002
