Date,DaysToExpiry,ExpiryDate,PnL
2021-06-08,2,2021-06-10 00:00:00,1497.7250000000004
2021-06-15,2,2021-06-17 00:00:00,-2194.5999999999995
2021-06-22,2,2021-06-24 00:00:00,920.0125000000005
2021-06-29,2,2021-07-01 00:00:00,1528.6250000000002
2021-07-06,2,2021-07-08 00:00:00,1103.7999999999997
2021-07-13,2,2021-07-15 00:00:00,531.8124999999999
2021-07-20,2,2021-07-22 00:00:00,746.6375
2021-07-27,2,2021-07-29 00:00:00,1302.475
2021-08-03,2,2021-08-05 00:00:00,-11477.5125
2021-08-10,2,2021-08-12 00:00:00,787.2999999999997
2021-08-17,1,2021-08-18 00:00:00,1594.55
2021-08-24,2,2021-08-26 00:00:00,1337.7000000000003
2021-08-31,2,2021-09-02 00:00:00,-5112.3375
2021-09-07,2,2021-09-09 00:00:00,1506.9249999999997
2021-09-14,2,2021-09-16 00:00:00,1252.2000000000003
2021-09-21,2,2021-09-23 00:00:00,-5475.074999999999
2021-09-28,2,2021-09-30 00:00:00,1259.3000000000002
2021-10-05,2,2021-10-07 00:00:00,1808.5625
2021-10-12,2,2021-10-14 00:00:00,-6012.437499999998
2021-10-19,2,2021-10-21 00:00:00,-7834.2625
2021-10-26,2,2021-10-28 00:00:00,2278.225
2021-11-02,1,2021-11-03 00:00:00,1685.475
2021-11-09,2,2021-11-11 00:00:00,2105.175
2021-11-16,2,2021-11-18 00:00:00,-1464.1625
2021-11-23,2,2021-11-25 00:00:00,2033.85
2021-11-30,2,2021-12-02 00:00:00,1658.5499999999997
2021-12-07,2,2021-12-09 00:00:00,-11600.074999999999
2021-12-14,2,2021-12-16 00:00:00,3086.8000000000006
2021-12-21,2,2021-12-23 00:00:00,3695.85
2021-12-28,2,2021-12-30 00:00:00,2382.6250000000005
2022-01-04,2,2022-01-06 00:00:00,1659.3625000000004
2022-01-11,2,2022-01-13 00:00:00,2197.2749999999996
2022-01-18,2,2022-01-20 00:00:00,-13735.225000000002
2022-01-25,2,2022-01-27 00:00:00,4101.687499999999
2022-02-01,2,2022-02-03 00:00:00,8335.425000000003
2022-02-08,2,2022-02-10 00:00:00,-3192.175
2022-02-15,2,2022-02-17 00:00:00,1068.3625000000002
2022-02-22,2,2022-02-24 00:00:00,3677.7500000000005
2022-03-08,2,2022-03-10 00:00:00,-17505.112500000003
2022-03-15,2,2022-03-17 00:00:00,4148.6625
2022-03-22,2,2022-03-24 00:00:00,3421.0000000000005
2022-03-29,2,2022-03-31 00:00:00,1769.35
2022-04-05,2,2022-04-07 00:00:00,-6019.849999999998
2022-04-12,1,2022-04-13 00:00:00,1370.1500000000012
2022-04-19,2,2022-04-21 00:00:00,1520.8999999999999
2022-04-26,2,2022-04-28 00:00:00,1551.0624999999998
2022-05-10,2,2022-05-12 00:00:00,-11061.2625
2022-05-17,2,2022-05-19 00:00:00,2506.0374999999995
2022-05-24,2,2022-05-26 00:00:00,3451.0249999999996
2022-05-31,2,2022-06-02 00:00:00,2148.3250000000007
2022-06-07,2,2022-06-09 00:00:00,2427.775
2022-06-14,2,2022-06-16 00:00:00,2830.575
2022-06-21,2,2022-06-23 00:00:00,2660.2749999999996
2022-06-28,2,2022-06-30 00:00:00,2459.9000000000005
2022-07-05,2,2022-07-07 00:00:00,1564.85
2022-07-12,2,2022-07-14 00:00:00,2373.225
2022-07-19,2,2022-07-21 00:00:00,-3459.35
2022-07-26,2,2022-07-28 00:00:00,2068.05
